Column,Max_KL_Divergence,Word
indoors - man-made - work_education,0.26545053720474243,hold-up-10
indoors - man-made - domestic,0.6796952486038208,tend-01
indoors - man-made - recreation,0.39764028787612915,shave-01
indoors - man-made - restaurant,0.9786983728408813,find-01
indoors - man-made - transportation_urban,0.4397434592247009,battle-01
indoors - man-made - other_unclear,0.38045185804367065,shoot-01
outdoors - man-made - work_education,0.3615668714046478,rush-01
outdoors - man-made - domestic,0.9898698329925537,huddle-01
outdoors - man-made - recreation,0.5448558926582336,barbecue-01
outdoors - man-made - restaurant,0.5418851375579834,break-19
outdoors - man-made - transportation_urban,0.587897002696991,survey-01
outdoors - man-made - other_unclear,0.5145291090011597,weave-01
outdoors - natural - field_forest,0.6229019165039062,scale-01
outdoors - natural - body_of_water,0.7317538857460022,sip-01
outdoors - natural - mountain,0.6109815239906311,dig-01
outdoors - natural - other_unclear,0.5039039850234985,excavate-01
