Word,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,outdoors - man-made - work_education,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - transportation_urban,indoors - man-made - recreation,indoors - man-made - domestic,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,outdoors - man-made - restaurant,indoors - man-made - other_unclear
sit-01,34.0,120.0,43.0,17.0,31.0,42.0,11.0,29.0,70.0,18.0,25.0,56.0,12.0,5.0,16.0,13.0
eat-01,7.0,4.0,,,3.0,,,2.0,2.0,,,2.0,3.0,,4.0,2.0
stand-01,11.0,277.0,53.0,38.0,57.0,42.0,26.0,33.0,74.0,15.0,43.0,26.0,56.0,10.0,6.0,14.0
contrast-01,6.0,34.0,11.0,3.0,10.0,11.0,1.0,10.0,22.0,2.0,13.0,16.0,6.0,,5.0,2.0
drink-01,6.0,2.0,,,,,,1.0,,,,1.0,1.0,,,
group-01,4.0,14.0,4.0,1.0,6.0,1.0,1.0,,2.0,,15.0,1.0,,,,1.0
gather-03,4.0,37.0,1.0,1.0,8.0,6.0,2.0,2.0,11.0,2.0,8.0,4.0,5.0,1.0,3.0,2.0
smile-01,4.0,5.0,2.0,,4.0,6.0,2.0,,6.0,1.0,2.0,13.0,3.0,,,2.0
pour-01,4.0,,,,1.0,,,,1.0,,,2.0,1.0,,,
read-01,2.0,8.0,,1.0,3.0,4.0,,,5.0,2.0,1.0,6.0,,,,1.0
wear-01,1.0,13.0,2.0,2.0,7.0,1.0,4.0,1.0,8.0,,5.0,8.0,3.0,2.0,,
prepare-01,4.0,1.0,,,,,,,,,,2.0,1.0,,,
talk-01,5.0,44.0,3.0,4.0,5.0,5.0,,2.0,7.0,,4.0,7.0,6.0,,2.0,
wait-01,3.0,19.0,1.0,1.0,1.0,2.0,,,6.0,7.0,1.0,1.0,,,,2.0
look-01,4.0,39.0,12.0,5.0,9.0,26.0,1.0,4.0,13.0,4.0,8.0,7.0,6.0,1.0,3.0,6.0
watch-01,1.0,17.0,3.0,,6.0,2.0,1.0,3.0,18.0,,9.0,1.0,4.0,,,
enjoy-01,6.0,8.0,9.0,1.0,3.0,1.0,,2.0,9.0,,1.0,4.0,2.0,,2.0,
play-11,3.0,33.0,,,3.0,1.0,,,25.0,5.0,28.0,4.0,7.0,1.0,,3.0
perform-01,2.0,23.0,3.0,3.0,1.0,,4.0,1.0,40.0,1.0,42.0,,2.0,,,
lean-01,2.0,29.0,5.0,3.0,2.0,,2.0,1.0,12.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0
pose-01,3.0,13.0,5.0,2.0,10.0,7.0,8.0,2.0,8.0,1.0,8.0,6.0,2.0,1.0,1.0,1.0
help-01,1.0,4.0,4.0,,,,1.0,,1.0,,1.0,,,,,
speak-01,1.0,4.0,,2.0,,5.0,,,2.0,,2.0,,1.0,,,6.0
share-01,1.0,5.0,1.0,,1.0,1.0,,,1.0,,,,,,,
hold-01,4.0,40.0,14.0,1.0,17.0,10.0,1.0,6.0,19.0,,7.0,12.0,6.0,,1.0,3.0
carry-01,1.0,13.0,4.0,1.0,9.0,2.0,1.0,3.0,4.0,,1.0,1.0,2.0,,,
move-01,1.0,2.0,,,2.0,,1.0,,4.0,,2.0,,,,,
discuss-01,1.0,4.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0
sing-01,1.0,,,,,1.0,,,5.0,,13.0,,,,,1.0
try-01,1.0,9.0,2.0,,2.0,,1.0,1.0,3.0,,3.0,1.0,,,,
make-01,4.0,1.0,,1.0,,1.0,,,2.0,1.0,,4.0,,,,
photograph-01,1.0,14.0,3.0,,3.0,2.0,,1.0,5.0,1.0,4.0,1.0,2.0,,1.0,
sit-down-02,1.0,5.0,1.0,,1.0,1.0,,2.0,,,,,1.0,,1.0,
crouch-01,1.0,6.0,1.0,,2.0,1.0,1.0,1.0,6.0,,2.0,1.0,1.0,1.0,,
sell-01,1.0,18.0,,10.0,,2.0,,2.0,2.0,,,,1.0,,1.0,
appear-02,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,1.0,,3.0,1.0,1.0,,,
relax-01,1.0,5.0,2.0,,3.0,1.0,1.0,2.0,4.0,,,3.0,,1.0,,
stop-01,1.0,7.0,,,5.0,1.0,1.0,,1.0,1.0,,,2.0,,,1.0
dance-01,1.0,11.0,,1.0,1.0,,,,6.0,,26.0,2.0,2.0,1.0,,
work-01,2.0,22.0,,17.0,2.0,15.0,,9.0,2.0,3.0,2.0,8.0,3.0,2.0,2.0,
play-01,1.0,27.0,56.0,1.0,54.0,2.0,3.0,20.0,115.0,,29.0,27.0,7.0,6.0,,3.0
use-01,1.0,9.0,3.0,4.0,1.0,7.0,,2.0,3.0,1.0,,2.0,2.0,,1.0,1.0
converse-01,1.0,8.0,,4.0,1.0,2.0,,,3.0,,,,,,1.0,
be-located-at-91,1.0,20.0,8.0,2.0,2.0,1.0,2.0,1.0,14.0,,5.0,2.0,5.0,1.0,,5.0
sweep-01,,5.0,,,,,,2.0,1.0,,1.0,,,,,
drive-01,,13.0,,1.0,1.0,,1.0,,,,,,,,,
walk-01,,297.0,45.0,12.0,43.0,6.0,20.0,12.0,37.0,5.0,1.0,1.0,16.0,2.0,,5.0
possible-01,,5.0,,,,1.0,,,1.0,,,,,,,
jog-01,,8.0,1.0,,2.0,,,,5.0,,,,,,,
run-02,,32.0,28.0,1.0,68.0,1.0,4.0,6.0,44.0,,5.0,,8.0,2.0,,
ride-01,,62.0,14.0,,15.0,2.0,8.0,,35.0,1.0,5.0,,1.0,1.0,,
travel-01,,4.0,2.0,,,,1.0,,3.0,1.0,,,,,,
lay-01,,5.0,1.0,,2.0,,,1.0,4.0,,,4.0,,1.0,,
pass-by-17,,9.0,,,,,,,1.0,,,,,,,
stroll-01,,6.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,
sleep-01,,9.0,1.0,,2.0,1.0,1.0,,7.0,9.0,,6.0,2.0,,1.0,
jump-03,,13.0,9.0,,21.0,,12.0,7.0,34.0,,6.0,3.0,1.0,3.0,,
surround-01,,4.0,,,1.0,,,,2.0,,1.0,1.0,,,,
approach-01,,5.0,,,2.0,1.0,,,,1.0,,,,1.0,,
stare-01,,5.0,2.0,,,,,,2.0,,1.0,1.0,1.0,,,
cross-02,,19.0,2.0,,,,,,1.0,,,,,,,
show-01,,5.0,4.0,,,4.0,,2.0,3.0,,2.0,2.0,1.0,,,2.0
bike-01,,4.0,,,2.0,,,,,,,,,,,
board-01,,5.0,5.0,,,,,,2.0,,,,,,,
go-02,,4.0,,,,,1.0,,1.0,1.0,2.0,,,,,
bend-01,,5.0,,,1.0,1.0,,,1.0,,2.0,,,,,1.0
fly-01,,3.0,1.0,,2.0,,2.0,,4.0,,,,,,,
view-01,,13.0,,,2.0,1.0,1.0,1.0,2.0,,3.0,3.0,1.0,,1.0,1.0
kiss-01,,4.0,,,3.0,,,,,,1.0,1.0,3.0,1.0,,1.0
throw-01,,1.0,3.0,,1.0,,,,7.0,,5.0,1.0,,,,
kneel-01,,8.0,5.0,1.0,1.0,,2.0,1.0,4.0,,3.0,1.0,1.0,,,1.0
examine-01,,3.0,,,1.0,11.0,,1.0,2.0,,,2.0,,,1.0,
squat-01,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,
seat-01,,3.0,,,2.0,2.0,,,5.0,,,1.0,,,,
climb-01,,4.0,2.0,1.0,5.0,1.0,13.0,,9.0,,2.0,,,,,
have-03,,8.0,5.0,,5.0,1.0,,,6.0,1.0,5.0,4.0,,1.0,,3.0
push-01,,10.0,,2.0,,1.0,,2.0,4.0,,,,1.0,,,
raise-01,,4.0,1.0,,,,,1.0,,,2.0,,,,,
dress-01,,5.0,1.0,,,,,,,,2.0,,,,,
lie-07,,2.0,,,6.0,1.0,1.0,1.0,1.0,,1.0,6.0,,,,
shop-01,,7.0,,4.0,,8.0,,,1.0,,,,,,,
turn-01,,4.0,2.0,,1.0,,2.0,,1.0,,1.0,,,,,
kick-01,,1.0,4.0,,2.0,,,1.0,6.0,,2.0,,,,,
attempt-01,,5.0,4.0,,1.0,,1.0,,3.0,,1.0,1.0,,,,
race-02,,10.0,1.0,,2.0,,,,17.0,,1.0,,1.0,,,
skateboard-01,,4.0,,1.0,,,,,8.0,,1.0,,,,,
skate-01,,1.0,1.0,,,,,,5.0,,4.0,,,,,
paint-02,,7.0,,2.0,1.0,1.0,,1.0,,,,,2.0,,,1.0
wash-01,,1.0,,,,,,1.0,,,,4.0,2.0,,,1.0
do-02,,1.0,1.0,1.0,,,1.0,1.0,5.0,1.0,4.0,2.0,,1.0,,
pull-01,,7.0,2.0,,1.0,,1.0,,,,,,,,,
leap-01,,1.0,1.0,,3.0,,,,4.0,,2.0,1.0,,,,
practice-01,,1.0,2.0,,,,,1.0,4.0,,9.0,,,,,
fight-01,,1.0,2.0,,2.0,,,,1.0,,4.0,,,,,
trick-01,,2.0,,,,,,1.0,11.0,,4.0,,1.0,,,
prepare-02,,5.0,3.0,,,,1.0,,5.0,,2.0,,,,,
ready-01,,1.0,3.0,,1.0,1.0,1.0,,2.0,1.0,4.0,,,,,
buy-01,,2.0,,2.0,,4.0,,2.0,1.0,,,,,,,
