Word,outdoors - man-made - work_education,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,indoors - man-made - recreation,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - domestic,indoors - man-made - transportation_urban,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,indoors - man-made - other_unclear,outdoors - man-made - restaurant
sit-01,31.0,80.0,284.0,92.0,53.0,61.0,94.0,21.0,64.0,154.0,111.0,39.0,34.0,8.0,29.0,34.0
eat-01,,20.0,8.0,,,7.0,,1.0,6.0,4.0,10.0,,11.0,1.0,4.0,8.0
stand-01,65.0,19.0,563.0,113.0,76.0,115.0,80.0,50.0,54.0,143.0,57.0,28.0,115.0,18.0,27.0,15.0
contrast-01,6.0,11.0,55.0,13.0,31.0,15.0,17.0,2.0,23.0,45.0,31.0,3.0,11.0,1.0,3.0,6.0
drink-01,,14.0,4.0,,,,,,2.0,,2.0,,7.0,,2.0,
group-01,3.0,7.0,32.0,7.0,21.0,10.0,6.0,1.0,,13.0,7.0,,5.0,1.0,5.0,
gather-03,3.0,5.0,55.0,2.0,16.0,10.0,10.0,4.0,4.0,19.0,6.0,2.0,7.0,1.0,4.0,3.0
smile-01,,9.0,17.0,4.0,6.0,7.0,17.0,6.0,3.0,23.0,39.0,3.0,13.0,1.0,7.0,
read-01,6.0,4.0,16.0,,3.0,7.0,13.0,,,13.0,22.0,8.0,,,1.0,
wear-01,4.0,1.0,49.0,5.0,16.0,11.0,9.0,8.0,3.0,21.0,20.0,2.0,29.0,5.0,6.0,
talk-01,9.0,10.0,96.0,4.0,6.0,9.0,13.0,,3.0,14.0,14.0,,17.0,,10.0,3.0
wait-01,3.0,4.0,58.0,4.0,3.0,4.0,3.0,,1.0,9.0,1.0,22.0,3.0,,6.0,1.0
look-01,18.0,13.0,133.0,38.0,20.0,26.0,65.0,9.0,14.0,54.0,41.0,15.0,37.0,5.0,23.0,6.0
watch-01,2.0,3.0,50.0,11.0,17.0,14.0,12.0,1.0,9.0,47.0,21.0,,10.0,,,
enjoy-01,1.0,11.0,17.0,16.0,7.0,8.0,2.0,1.0,3.0,16.0,9.0,,3.0,2.0,1.0,3.0
play-11,2.0,8.0,98.0,,99.0,8.0,2.0,,2.0,73.0,12.0,13.0,16.0,7.0,23.0,
perform-01,4.0,4.0,44.0,8.0,98.0,6.0,1.0,5.0,1.0,76.0,,1.0,4.0,,3.0,
lean-01,7.0,2.0,50.0,6.0,1.0,3.0,,3.0,1.0,15.0,2.0,2.0,8.0,1.0,3.0,1.0
pose-01,2.0,8.0,36.0,13.0,16.0,21.0,14.0,13.0,2.0,15.0,23.0,1.0,10.0,2.0,8.0,3.0
speak-01,7.0,2.0,12.0,,8.0,,15.0,,,10.0,1.0,,6.0,,12.0,
share-01,,2.0,6.0,1.0,,1.0,1.0,,1.0,2.0,3.0,,1.0,,1.0,
hold-01,4.0,13.0,128.0,25.0,29.0,37.0,31.0,3.0,20.0,67.0,54.0,1.0,34.0,4.0,16.0,1.0
carry-01,5.0,2.0,59.0,9.0,1.0,18.0,5.0,2.0,8.0,7.0,3.0,1.0,5.0,1.0,,
sing-01,,2.0,,,38.0,,3.0,,,12.0,,,1.0,,9.0,
try-01,,2.0,23.0,5.0,15.0,14.0,4.0,2.0,3.0,33.0,3.0,,3.0,,3.0,
photograph-01,,1.0,42.0,7.0,7.0,9.0,2.0,2.0,3.0,15.0,3.0,3.0,6.0,,3.0,4.0
sit-down-02,1.0,3.0,5.0,1.0,3.0,3.0,3.0,,2.0,,4.0,2.0,2.0,,1.0,1.0
crouch-01,,1.0,10.0,2.0,3.0,3.0,1.0,3.0,2.0,10.0,1.0,,1.0,1.0,1.0,
sell-01,20.0,1.0,28.0,,1.0,,6.0,,3.0,4.0,,,1.0,,,1.0
relax-01,,1.0,5.0,2.0,,5.0,1.0,1.0,4.0,5.0,4.0,,,1.0,3.0,
stop-01,,2.0,25.0,,2.0,5.0,1.0,1.0,,2.0,,3.0,3.0,,1.0,
dance-01,2.0,2.0,17.0,,74.0,2.0,1.0,,2.0,17.0,4.0,,7.0,1.0,3.0,
work-01,39.0,5.0,72.0,2.0,6.0,9.0,49.0,,24.0,11.0,18.0,8.0,12.0,3.0,3.0,4.0
play-01,1.0,9.0,76.0,122.0,85.0,131.0,8.0,4.0,51.0,346.0,100.0,2.0,17.0,10.0,8.0,
use-01,13.0,2.0,23.0,5.0,4.0,8.0,19.0,1.0,5.0,5.0,5.0,1.0,6.0,,5.0,1.0
converse-01,4.0,1.0,11.0,,1.0,1.0,2.0,,2.0,5.0,1.0,1.0,1.0,,2.0,2.0
