caption,Jensen-Shannon Divergence
a person drives around a futuristic looking vehicle while a man approaches and a crowd watches .,2.1165055361657234e-06
a brown dog running,0.4747673455947834
a child in a dress runs with a miniature orange soccer ball .,0.5429402529803395
a woman sleeps,0.3091966825883714
a man is kneeling down with a child,0.8325546099361183
men playing volleyball,0.5990057493843096
a little boy playing.,0.7028268976786316
a blond dog and a black and white dog run,0.4509923777885705
a person dressed in a tan jacket jumps a quad over a harvested cornfield,0.3091966825883714
girl wearing blue shirt and black shorts plays trumped .,0.7028268976786316
Kids play,0.46450140309718757
a woman is drinking a beverage,0.5990057491490158
three children are playing .,0.6516023037296733
two children swing from a swing made from a steel drum .,0.3995326741745401
Person leaning,0.6516023037296733
two swimmers race with a red line .,0.0649045071315028
an older couple passes by a young lady,0.5990057493843096
three children are practicing martial arts.,0.3091966825883714
a lady with short hair wearing a black jacket leaned .,0.7028268978767214
a man perched is using a net to scoop a fish from another aquarium .,0.5429402529803395
a dark-haired man is speaking into a microphone while another man is sitting .,0.30919668259265304
people pass each other while talking on their cellphones .,0.36373633908978487
person with two ski poles skiing down .,2.1165055361657234e-06
a man in a blue swimsuit and a red beanie kneels making a sand castle that is as tall as he is when he is kneeling .,2.1165055361657234e-06
a black dog runs with his mouth open,0.616762243419607
decorated limo passing by elderly woman waiting on park bench .,0.616762243419607
three people in various stages of swimming strokes race,0.36373633908978487
one dog is jumping at the lady while the other walks,0.6424372740812075
a motorcyclist on a red speed bike leans .,2.1165055361657234e-06
a man is sitting playing drums on buckets .,0.30919668258837146
a lively adult karate practice,0.46450140349657476
a red dog jumps to catch a tennis ball .,0.7028268979395873
The brown dog catches a ball.,0.5429402529880796
the little girl swings.,0.30919668259265304
four young adults sit,0.7028268976786317
a woman is having her foot examined by another woman,0.5990057493843096
a woman is holding a baby while another child stands .,0.6516023037296734
a gray dog is jumping toward a black and white dog.,0.47476734559478334
a black and white dog runs.,0.4747673455947834
a dark-haired dark-skinned child sleeps while holding a blue zippered pack .,0.7028268981376771
a man in a black shirt sitting,0.5429402529803395
a man grilling,0.4509923777885705
a person wearing a construction uniform is leaning.,0.4645014030971875
a man is rowing a canoe.,2.1165055361657234e-06
a man in red shirt wearing sunglasses is leaning,0.4747673455947834
a handicapped person with one leg skiing down with other mountains .,2.1165055361657234e-06
a woman is selling vegetables .,0.616762243419607
two people are jumping with snow .,0.47476734598536796
vendors are selling fruits and vegetables,0.46450140349657476
a man rows his boat .,2.1165055361657234e-06
a terrier mix catches a frisbee.,0.4645014030971875
"a man in a white polo shirt speaks with a sign that reads, truth !",0.4509923777885705
two young people riding skateboards pass by in the street as a black dog on a red leash stops and squats down.,2.1165055361657234e-06
crowd waiting for a train .,2.1165055361657234e-06
four women are singing .,0.46450140349657476
two men drink beer .,0.4509923777885705
two women in white lab coats examine a dyed area using a projector .,2.1165055361657234e-06
two rows of dance students are practicing ballet moves against a pole.,2.1165055361657234e-06
white and black dog jumping over red-haired dog .,0.5429402529880796
a smiling child wearing a hat and sunglasses sits.,0.6167622431203059
a woman is using a ruler to mark a sheet of paper .,0.4645014030971875
two dogs are catching blue frisbees.,0.47476734598536796
a man is singing.,0.4645014030971875
three young women and one young man singing.,0.46450140349657476
a group of men in golden shirts singing.,0.4645014030971875
"a man wearing jeans , polo shirt and a baseball cap , fork , is grilling meat .",0.6167622431203059
vendors sell products.,0.8325546101036344
people examine books.,2.1165055361657234e-06
a woman sits while putting a shoe onto her right foot .,0.4509923777885705
several people sit,0.8325546095520581
two girls are in a race .,0.46450140309718757
an orchestra of about <number> people are practicing,0.06490450713150281
the man in the red shirt and flowery tie is sitting.,0.6516023040122275
