caption,Jensen-Shannon Divergence
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,2.1165055361657234e-06
a brown dog running on a lawn near a garden hose,0.46450140309718757
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,0.3796893934224146
a woman sleeps under a blue and white blanket in a car .,2.1165055361657234e-06
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,2.1165055361657234e-06
men playing volleyball in the sand .,2.1165055361657234e-06
a little boy playing in the water .,2.1165055361657234e-06
a blond dog and a black and white dog run in a dirt field .,0.36373633908978487
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,0.4509923777885705
girl wearing blue shirt and black shorts plays trumped outside .,0.5429402529803395
kids play around a statue bust outside .,0.4509923777885705
a woman is drinking a beverage in a busy cafe .,2.1165055361657234e-06
"three children are playing outdoors , two of them on a metal barrel swing .",0.4509923777885705
two children swing in dusty rooftop from a swing made from a steel drum .,0.5990057491490158
"person leaning against the wall , next to a life size cartoon cut out .",0.4747673455947834
two swimmers race in a pool with a red line between them .,0.36373633908978487
an older couple passes by a young lady on the sidewalk .,2.1165055361657234e-06
three children are practicing martial arts in a gym .,2.1165055361657234e-06
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,2.1165055361657234e-06
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,0.30919668259265304
a dark-haired man is speaking into a microphone while another man is sitting beside him .,0.4747673455947834
people pass each other on a busy city street while talking on their cellphones .,2.1165055361657234e-06
person with two ski poles skiing down a snowy hill .,2.1165055361657234e-06
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",2.1165055361657234e-06
a black dog runs on green grass with its mouth open .,0.11984403014938547
decorated limo passing by elderly woman waiting on park bench in chinese street .,2.1165055361657234e-06
three people in various stages of swimming strokes race along colorful lane markers .,2.1165055361657234e-06
one dog is jumping at the lady while the other walks away .,0.6424372740812077
a motorcyclist on a red speed bike leans into a sharp turn .,2.1165055361657234e-06
a man is sitting on the street playing drums on buckets .,2.1165055361657234e-06
a lively adult karate practice at the dojo .,2.1165055361657234e-06
a red dog jumps to catch a tennis ball in the dry tall grass .,2.1165055361657234e-06
the brown dog catches a ball in the air .,0.6516023040122275
the little girl swings in the backyard .,0.3091966825883714
"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",0.5429402529803395
a woman is having her foot examined by another woman in a run-down building .,0.8325546103252176
a woman is holding a baby while another child stands by her side .,0.6516023037296733
a gray dog is jumping toward a black and white dog in the snow .,0.8325546098849307
a black and white dog runs beside a brown dog in a green field .,0.36373633908978487
a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,0.3796893934224146
a man in a black shirt sitting next to a older women in a pink jacket on a train .,0.3091966825883714
a man grilling outside his house .,2.1165055361657234e-06
a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,2.1165055361657234e-06
a man is rowing a canoe on a lake .,2.1165055361657234e-06
a man in red shirt wearing sunglasses is leaning on the wall,0.8325546099361182
a handicapped person with one leg skiing down a mountain with other mountains in the background .,2.1165055361657234e-06
a woman is selling vegetables on the street .,2.1165055361657234e-06
two people are jumping on the side of a road with snow in the background .,2.1165055361657234e-06
