Caption,Annotator,Category,Location,Type,Reasoning
"blond child with dirty face holding yellow bottle with red cap , plants in background .",Derrick,Field/Forest,Outdoors,Natural,"It says 'plants' in background, which makes me think that it is held in a forest-like environment."
"blond child with dirty face holding yellow bottle with red cap , plants in background .",Ken,Domestic,Outdoors,Man-made,"feels like a backyard scene to me (in particular, ""dirty face"" increases P(outdoors)), although other locations possible"
a blond girl sits with her instrument looking off in the distance .,Derrick,Other/Unclear (Man-made),Outdoors,Man-made,"It is really unclear, where this girl is sitting. She could be sitting in a home, looking at a distance in a window pane, or she could be outside watching scenes on a mountain."
a blond girl sits with her instrument looking off in the distance .,Ken,Domestic,Indoors,Man-made,"I'm picturing a girl at home taking a break from practicing, but this could really be anywhere"
two kids wakeboarding simultaneously decide to signal for a high-five .,Ken,Body of Water,Outdoors,Natural,
two kids wakeboarding simultaneously decide to signal for a high-five .,Derrick,Body of Water,Outdoors,Natural,"Wakeboarding is usually done in a body of water, like at a lake or sea. "
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",Ken,Recreation,Outdoors,Man-made,
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",Derrick,Recreation,Outdoors,Man-made,I would imagine the soccer players are playing in a soccer in a soccer field. 
"two men , one standing and one on a bicycle are talking outside a building .",Derrick,Transportation/Urban,Outdoors,Man-made,"I assume outside of a building means that it is held on the street, and that the building is next to it.  "
"two men , one standing and one on a bicycle are talking outside a building .",Ken,Transportation/Urban,Outdoors,Man-made,
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",Ken,Other/Unclear (Natural),Outdoors,Natural,"I'm imagining a desert (could be a beach, but feels less likely), which doesn't really fit into the other categories"
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",Derrick,Mountain,Outdoors,Natural,"""Walks uphill"" indicates that this is held outside, and is held on a hill. "
"some children are playing on a trampoline , a boy in a red shirt is covering his face as he cries .",Ken,Domestic,Outdoors,Man-made,
four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .,Derrick,Domestic,Indoors,Man-made,"Overall, it is very unclear where this is happening. This could be done at work at a bakery, or done at home, or in a company meeting. "
four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .,Ken,Restaurant,Indoors,Man-made,
