WorkerId,Input.sentence,Answer.taskAnswers
flux,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban
flux,a brown dog running on a lawn near a garden hose,outdoors/man-made/domestic
flux,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/recreation
flux,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban
flux,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water
flux,men playing volleyball in the sand .,outdoors/natural/body_of_water
flux,a little boy playing in the water .,outdoors/natural/body_of_water
flux,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
flux,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education
flux,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/natural/field_forest
flux,kids play around a statue bust outside .,outdoors/man-made/recreation
flux,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant
flux,"three children are playing outdoors , two of them on a metal barrel swing .",outdoors/man-made/recreation
flux,two children swing in dusty rooftop from a swing made from a steel drum .,outdoors/man-made/transportation_urban
flux,"person leaning against the wall , next to a life size cartoon cut out .",indoors/man-made/domestic
flux,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation
flux,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban
flux,three children are practicing martial arts in a gym .,indoors/man-made/recreation
flux,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban
flux,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation
flux,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/work_education
flux,people pass each other on a busy city street while talking on their cellphones .,outdoors/man-made/transportation_urban
flux,person with two ski poles skiing down a snowy hill .,outdoors/natural/mountain
flux,"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",outdoors/natural/body_of_water
flux,a black dog runs on green grass with its mouth open .,outdoors/natural/field_forest
flux,decorated limo passing by elderly woman waiting on park bench in chinese street .,outdoors/man-made/transportation_urban
flux,three people in various stages of swimming strokes race along colorful lane markers .,indoors/man-made/recreation
flux,one dog is jumping at the lady while the other walks away .,outdoors/natural/field_forest
flux,a motorcyclist on a red speed bike leans into a sharp turn .,outdoors/man-made/transportation_urban
flux,a man is sitting on the street playing drums on buckets .,outdoors/man-made/transportation_urban
flux,a lively adult karate practice at the dojo .,indoors/man-made/recreation
flux,a red dog jumps to catch a tennis ball in the dry tall grass .,outdoors/natural/field_forest
flux,the brown dog catches a ball in the air .,outdoors/natural/field_forest
flux,the little girl swings in the backyard .,outdoors/man-made/domestic
flux,"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",outdoors/man-made/domestic
flux,a woman is having her foot examined by another woman in a run-down building .,indoors/man-made/domestic
flux,a woman is holding a baby while another child stands by her side .,outdoors/man-made/domestic
flux,a gray dog is jumping toward a black and white dog in the snow .,outdoors/natural/field_forest
flux,a black and white dog runs beside a brown dog in a green field .,outdoors/natural/field_forest
flux,a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,indoors/man-made/domestic
flux,a man in a black shirt sitting next to a older women in a pink jacket on a train .,indoors/man-made/transportation_urban
flux,a man grilling outside his house .,outdoors/man-made/domestic
flux,a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,outdoors/man-made/transportation_urban
flux,a man is rowing a canoe on a lake .,outdoors/natural/body_of_water
flux,a man in red shirt wearing sunglasses is leaning on the wall,outdoors/man-made/transportation_urban
flux,a handicapped person with one leg skiing down a mountain with other mountains in the background .,outdoors/natural/mountain
flux,a woman is selling vegetables on the street .,outdoors/man-made/transportation_urban
flux,two people are jumping on the side of a road with snow in the background .,outdoors/man-made/transportation_urban
flux,street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,outdoors/man-made/transportation_urban
flux,a man rows his boat below .,outdoors/natural/body_of_water
flux,a terrier mix catches a frisbee in the air .,outdoors/natural/field_forest
flux,"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , truth !",indoors/man-made/other_unclear
flux,two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,outdoors/man-made/transportation_urban
flux,crowd waiting on main street subway platform for a train .,indoors/man-made/transportation_urban
flux,four women are on stage singing .,indoors/man-made/recreation
flux,two men drink beer at the bar in a restaurant .,indoors/man-made/restaurant
flux,two women in white lab coats examine a dyed area on a cluster of cells using a projector .,indoors/man-made/work_education
flux,two rows of dance students are practicing ballet moves against a pole in a studio .,indoors/man-made/recreation
flux,white and black dog jumping over red-haired dog in grass .,outdoors/natural/field_forest
flux,a smiling child wearing a hat and sunglasses sits in a car .,indoors/man-made/transportation_urban
flux,a woman is using a ruler at a desk to mark a sheet of paper .,indoors/man-made/domestic
flux,two dogs are catching blue frisbees in grass .,outdoors/natural/field_forest
flux,a man is singing at a concert .,indoors/man-made/recreation
flux,three young women and one young man singing in an auditorium .,indoors/man-made/recreation
flux,a group of men in golden shirts singing in front of a microphone .,indoors/man-made/recreation
flux,"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .",outdoors/man-made/domestic
flux,vendors sell products at a farmers market .,outdoors/man-made/work_education
flux,people examine books in a library .,indoors/man-made/work_education
flux,a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,indoors/man-made/work_education
flux,"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",outdoors/man-made/domestic
flux,two girls are in a sack race .,outdoors/natural/field_forest
flux,an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,indoors/man-made/recreation
flux,the man in the red shirt and flowery tie is sitting on a bus by the window .,indoors/man-made/transportation_urban
flux,muzzled greyhounds are racing on the track .,outdoors/man-made/recreation
flux,little girl skis on slope .,outdoors/natural/mountain
flux,"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",outdoors/natural/field_forest
flux,"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",indoors/man-made/restaurant
flux,a man is enjoying meal and drink inside a restaurant .,indoors/man-made/restaurant
flux,a man drives a truck while a child sits on his lap and steers .,indoors/man-made/transportation_urban
flux,an asian man sells a hot confection from his stand in a crowded market .,outdoors/man-made/transportation_urban
flux,a man singing in a very colorful environment .,indoors/man-made/other_unclear
flux,people are rowing a boat in the water .,outdoors/natural/body_of_water
flux,a man sleeps while listening to his ipod in the back of a vehicle .,indoors/man-made/transportation_urban
flux,a greyhound races on the dirt .,outdoors/natural/field_forest
flux,a man and a woman are examining produce at a market .,indoors/man-made/work_education
flux,a man in a yellow jacket is skiing in the snow .,outdoors/natural/mountain
flux,a man driving a small golf cart down a street with a crowd watching him on either side of the street .,outdoors/man-made/transportation_urban
flux,group of women doing a presentation off an easel .,indoors/man-made/domestic
flux,two dogs are nose to nose while a third dog stands next to them .,outdoors/natural/field_forest
flux,man with gray hair wearing a suit is waiting in a subway tunnel .,indoors/man-made/transportation_urban
flux,two men on motorcycles are driving down an empty street .,outdoors/man-made/transportation_urban
flux,a runner in black is passing an outdoor florist shop .,outdoors/man-made/transportation_urban
