caption,url,probs,adjudicated
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,https://derrickversion5.s3.amazonaws.com/flux_original/00000-42.png,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
a blond dog and a black and white dog run in a dirt field .,https://derrickversion5.s3.amazonaws.com/flux_original/00007-42.png,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",4
two swimmers race in a pool with a red line between them .,https://derrickversion5.s3.amazonaws.com/flux_original/00015-42.png,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
a woman is selling vegetables on the street .,https://derrickversion5.s3.amazonaws.com/flux_original/00046-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
a woman is using a ruler at a desk to mark a sheet of paper .,https://derrickversion5.s3.amazonaws.com/flux_original/00061-42.png,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
"""two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .""",https://derrickversion5.s3.amazonaws.com/flux_original/00076-42.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
an asian man sells a hot confection from his stand in a crowded market .,https://derrickversion5.s3.amazonaws.com/flux_original/00080-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
a man singing in a very colorful environment .,https://derrickversion5.s3.amazonaws.com/flux_original/00081-42.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
a greyhound races on the dirt .,https://derrickversion5.s3.amazonaws.com/flux_original/00084-42.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
two dogs are nose to nose while a third dog stands next to them .,https://derrickversion5.s3.amazonaws.com/flux_original/00089-42.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,https://derrickversion5.s3.amazonaws.com/flux_original/00102-42.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",12
a man is using his computer while seated at a desk .,https://derrickversion5.s3.amazonaws.com/flux_original/00129-42.png,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
a brown dog running,https://derrickversion5.s3.amazonaws.com/flux_finalized/00001-2214606167.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
a person dressed in a tan jacket jumps a quad over a harvested cornfield,https://derrickversion5.s3.amazonaws.com/flux_finalized/00008-1746267257.png,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",10
Kids play,https://derrickversion5.s3.amazonaws.com/flux_finalized/00010-2093803445.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8
Person leaning,https://derrickversion5.s3.amazonaws.com/flux_finalized/00014-1793957598.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
three people in various stages of swimming strokes race,https://derrickversion5.s3.amazonaws.com/flux_finalized/00026-4037571357.png,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
one dog is jumping at the lady while the other walks,https://derrickversion5.s3.amazonaws.com/flux_finalized/00027-3886866532.png,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
a woman is having her foot examined by another woman,https://derrickversion5.s3.amazonaws.com/flux_finalized/00035-1314012957.png,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
a man grilling,https://derrickversion5.s3.amazonaws.com/flux_finalized/00041-485948297.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1
a person wearing a construction uniform is leaning.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00042-50448645.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",7
a man in red shirt wearing sunglasses is leaning,https://derrickversion5.s3.amazonaws.com/flux_finalized/00044-907896610.png,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",5
vendors are selling fruits and vegetables,https://derrickversion5.s3.amazonaws.com/flux_finalized/00048-3505002808.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
vendors sell products.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00067-2293476452.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
"""two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .""",https://derrickversion5.s3.amazonaws.com/flux_finalized/00076-1614771519.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8
an asian man sells a hot confection.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00080-1245594417.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
an old woman is selling produce.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00111-1437358180.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
a korean woman is enjoying a meal.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00115-957414650.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",5
two women in black enjoying a lunch.,https://derrickversion5.s3.amazonaws.com/flux_finalized/00121-1829916244.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",5
"""an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down .""",https://derrickversion5.s3.amazonaws.com/flux_finalized/00132-4036362978.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]",14
