caption,url,probs
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,https://derrickversion5.s3.amazonaws.com/flux_original/00000-42.png,"[4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a blond dog and a black and white dog run in a dirt field .,https://derrickversion5.s3.amazonaws.com/flux_original/00007-42.png,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]"
two swimmers race in a pool with a red line between them .,https://derrickversion5.s3.amazonaws.com/flux_original/00015-42.png,"[0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman is selling vegetables on the street .,https://derrickversion5.s3.amazonaws.com/flux_original/00046-42.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
a woman is using a ruler at a desk to mark a sheet of paper .,https://derrickversion5.s3.amazonaws.com/flux_original/00061-42.png,"[0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",https://derrickversion5.s3.amazonaws.com/flux_original/00076-42.png,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
an asian man sells a hot confection from his stand in a crowded market .,https://derrickversion5.s3.amazonaws.com/flux_original/00080-42.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
a man singing in a very colorful environment .,https://derrickversion5.s3.amazonaws.com/flux_original/00081-42.png,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
a greyhound races on the dirt .,https://derrickversion5.s3.amazonaws.com/flux_original/00084-42.png,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
two dogs are nose to nose while a third dog stands next to them .,https://derrickversion5.s3.amazonaws.com/flux_original/00089-42.png,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,https://derrickversion5.s3.amazonaws.com/flux_original/00102-42.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
