caption,url,probs
"three children are playing outdoors , two of them on a metal barrel swing .",https://derrickversion5.s3.amazonaws.com/midjourney_original/12.png,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,https://derrickversion5.s3.amazonaws.com/midjourney_original/19.png,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a black dog runs on green grass with its mouth open .,https://derrickversion5.s3.amazonaws.com/midjourney_original/24.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,https://derrickversion5.s3.amazonaws.com/midjourney_original/48.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
"a man in a white polo shirt speaks into a microphone with a sign behind him that reads, truth !",https://derrickversion5.s3.amazonaws.com/midjourney_original/51.png,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man is singing at a concert .,https://derrickversion5.s3.amazonaws.com/midjourney_original/63.png,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man singing in a very colorful environment .,https://derrickversion5.s3.amazonaws.com/midjourney_original/81.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
brown dog catches a pink ball in the park .,https://derrickversion5.s3.amazonaws.com/midjourney_original/94.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man grilling meat on an outdoor grilling pit .,https://derrickversion5.s3.amazonaws.com/midjourney_original/116.png,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]"
a man in a suit and tie in a fancy building is speaking at the podium .,https://derrickversion5.s3.amazonaws.com/midjourney_original/127.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/8.png,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
a lady with short hair wearing a black jacket leaned .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/18.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
the little girl swings.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/33.png,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]"
a gray dog is jumping toward a black and white dog.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/37.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a woman is selling vegetables .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/46.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
vendors are selling fruits and vegetables,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/48.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
