Word,indoors - man-made - work_education,indoors - man-made - domestic,indoors - man-made - recreation,indoors - man-made - restaurant,indoors - man-made - transportation_urban,indoors - man-made - other_unclear,outdoors - man-made - work_education,outdoors - man-made - domestic,outdoors - man-made - recreation,outdoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - man-made - other_unclear,outdoors - natural - field_forest,outdoors - natural - body_of_water,outdoors - natural - mountain,outdoors - natural - other_unclear,Total_Count
man,0.06924601105433309,0.06663885702367296,0.06705600166857859,0.031807279174053606,0.02023151527792262,0.029304411304619877,0.03212013765773282,0.037647304202732296,0.12034623005527166,0.010637188445093336,0.30764417561789553,0.05933882573782459,0.04484304932735426,0.06674314318489936,0.027740118886223797,0.008655751381791636,9589
woman,0.07857581338244321,0.08778391651319828,0.058931860036832415,0.044505831798649476,0.021792510742786986,0.03406998158379374,0.021792510742786986,0.03959484346224678,0.09975445058317986,0.011663597298956415,0.3182934315531001,0.07120933087783916,0.04604051565377532,0.0423572744014733,0.014426028238182934,0.009208103130755065,3258
two,0.04663840096910963,0.05723803755299818,0.09206541490006057,0.022107813446396122,0.012113870381586917,0.0257419745608722,0.02150211992731678,0.03634161114476075,0.1599030890369473,0.006359781950333132,0.26226529376135677,0.04239854633555421,0.10266505148394912,0.08812840702604482,0.021804966686856452,0.0027256208358570565,3302
people,0.04634056638470026,0.026480323648400146,0.07796984185362266,0.026480323648400146,0.025744759102611255,0.022434718646561234,0.025376976829716808,0.0158146377344612,0.15557190143435087,0.0158146377344612,0.3769768297168076,0.02500919455682236,0.05112173593232806,0.07208532548731152,0.029790364104450167,0.006987863184994484,2719
wearing,0.04989247311827957,0.06537634408602151,0.07354838709677419,0.021075268817204302,0.013333333333333334,0.021505376344086023,0.02838709677419355,0.033118279569892474,0.16731182795698923,0.005161290322580645,0.28344086021505377,0.06881720430107527,0.06064516129032258,0.05978494623655914,0.035698924731182795,0.012903225806451613,2325
young,0.044921875,0.1005859375,0.08447265625,0.02392578125,0.0146484375,0.033203125,0.00830078125,0.05224609375,0.19384765625,0.001953125,0.21337890625,0.0556640625,0.076171875,0.07470703125,0.0107421875,0.01123046875,2048
shirt,0.06282101935993678,0.09087317265902806,0.07388384037929673,0.021730541288028447,0.01738443303042276,0.03081785855393125,0.033583563808771234,0.04385618332674832,0.17147372580007902,0.006716712761754247,0.25918609245357566,0.050177795337811144,0.05768470960094824,0.04622678783089688,0.01935993678387989,0.014223627024891347,2531
white,0.05253104106972302,0.059694364851957976,0.09025787965616046,0.01862464183381089,0.009073543457497613,0.027698185291308502,0.022922636103151862,0.034861509073543455,0.1781279847182426,0.0062082139446036294,0.22922636103151864,0.050620821394460364,0.1017191977077364,0.07593123209169055,0.02387774594078319,0.01862464183381089,2094
black,0.03780617678381257,0.059637912673056445,0.08413205537806177,0.024494142705005325,0.014909478168264111,0.027156549520766772,0.01810436634717785,0.0463258785942492,0.1645367412140575,0.007987220447284345,0.25931842385516507,0.04472843450479233,0.10969116080937168,0.077209797657082,0.012247071352502662,0.011714589989350373,1878
blue,0.048723897911832945,0.06148491879350348,0.07540603248259861,0.016241299303944315,0.013921113689095127,0.02262180974477958,0.029582366589327145,0.043503480278422275,0.18735498839907191,0.004640371229698376,0.2737819025522042,0.05336426914153132,0.06322505800464037,0.06612529002320186,0.027842227378190254,0.012180974477958236,1724
