image_name| comment_number| comment
106490881.jpg| 0| A young boy in swimming trunks is walking with his arms outstretched on the beach .
1095980313.jpg| 3| A little girl with arms outstretched is posing at the beach .
1096395242.jpg| 0| A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
1119034454.jpg| 2| A jogger passes under an outstretched tree branch .
1142283988.jpg| 0| Two people are hugging and one is wearing a pink-hooded stretch top .
1177949654.jpg| 4| A group of people wearing black stretch .
1204996216.jpg| 2| A child is on a bench with arms stretched out .
124534466.jpg| 1| A young boy in a black jacket is running towards a woman with outstretched arms .
1259936608.jpg| 1| A little girl with arms outstretched plays with others at a sprinkler park .
128452798.jpg| 3| A man and a boy each grasp a small black bag in their outstretched arms .
129891931.jpg| 1| A toddler wearing a onesie is stretching to see a video game in an arcade .
129981966.jpg| 2| In a tree filled park a man stretches .
1312440023.jpg| 0| Young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .
1353425777.jpg| 0| Person in a yellow shirt and black shorts stretching on a bridge .
1355833561.jpg| 0| A man in an orange jacket playfully tosses a small girl into the air on an empty stretch of beach on an overcast day .
1414779054.jpg| 0| A boy plays with outstretched arms on the sidewalk next to a cobblestone street .
1428839421.jpg| 2| A man with stretched earlobes wearing a black hat stands in front of a display of food for sale .
1438632858.jpg| 4| A man stretches by the ocean .
151970521.jpg| 0| Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .
1564614124.jpg| 3| A girl playing with a stretchy charm bracelet .
1577667570.jpg| 2| A woman stretches her calves next to a public restroom .
1622115176.jpg| 1| A kid with Green shoes , red shorts , and a blue hat and shirt stands on a stretch of pavement .
169490297.jpg| 1| The boy in the blue and yellow top is standing with arms outstretched .
178249309.jpg| 0| A man wearing a suit stands on the street with his right hand outstretched .
185404966.jpg| 0| An old man with arms outstretched sits against a wooden wall between a woman and another man .
1872407275.jpg| 0| Negros walk across a train track that stretches over dirt and garbage beside a row of poor shacks .
2058472558.jpg| 3| A girl running with outstretched arms
2068465241.jpg| 0| a little girl in a blue and pink leotard is walking along a beam whilst a person 's hand is stretched out to support her .
2097407245.jpg| 3| Man with outstretched arms standing on snow-covered rocks .
2110775531.jpg| 0| Several young women with their arms stretched above their heads perform a choreographed routine on a stage .
2120571547.jpg| 1| A woman is stretching he legs across three seats on a subway train .
2121357310.jpg| 1| A boy in a swimsuit slides along a stretch of wet plastic .
2148680620.jpg| 3| a kid is stretching his food out of his mouth .
217593609.jpg| 0| A dark-skinned boy in a white karate uniform with a yellow belt is leaping with his limbs outstretched while a girl in a yellow silk outfit watches him , outside inside a fence .
2230067846.jpg| 3| Two boys in running clothes stretching .
2247101794.jpg| 0| A man wearing a black shirt and white pants stretches out on a bench in the shade of trees .
2269418002.jpg| 1| One man with a brown shirt and has his arms stretched out , in a city .
23016347.jpg| 2| A young tennis player stretches for a ball on a clay court .
2302816463.jpg| 0| 2 guys one is a gymnast whom is performing , the other stretching and warming up both in red , in a dark room .
2306497411.jpg| 0| A man jumps up into the air with hands stretched high above himself with a canyon in the background .
2322593776.jpg| 1| The child is standing on top of a snowbank with their arms outstretched .
2356664078.jpg| 1| Three dogs trot on a stretch of grass , and one dog is carrying a tennis ball .
23925202.jpg| 0| A laughing man is sitting in a camp chair with his arms outstretched , while a man in a black shirt next to him is stuffing his face .
241347664.jpg| 0| A football team doing their stretches before the game starts .
2433175169.jpg| 0| The man is standing on a stone stump on top of a hill with his arms outstretched .
2438728474.jpg| 0| A young male child wearing an orange , white , and blue-striped hat is standing with his arms outstretched at the edge of a fenced-in yard , in front of some red tulips .
2447972568.jpg| 1| A girl flies through the air as a man stands with his arms outstretched .
247704641.jpg| 0| A black dog is slowly crossing a fallen log that is outstretched over a stream of water .
2557369301.jpg| 1| A girl in tan shorts and a black yellow swimsuit top is stretching .
2566130554.jpg| 2| A woman hands an object to an outstretched hand .
2574247263.jpg| 2| A gray-haired man with glasses is sitting on a large bench with his legs stretched out .
2583217692.jpg| 4| A woman stretches to reach across water .
2597737483.jpg| 1| Boy sliding down the slide with outstretched arms .
2602935297.jpg| 0| A group of children stand underneath some banners , stretching their arms over their heads .
2607861348.jpg| 0| A man stands atop of his white fishing boat , arm stretched out , while three other men , bare chested , waist deep in water , pull on a fishing net .
2632111399.jpg| 1| A boy catcher in a helmet , stretching out his gloved hand for a catch .
2646046871.jpg| 2| The boy with his shirt undone is stretching his arm in the air .
2647424395.jpg| 1| A young girl in a pink shirt stretching to touch a green balloon .
2656424263.jpg| 3| A man in a gym performs moves with outstretched arms .
2673148534.jpg| 0| A dog runs past an empty chair and a tripod , between stretched strings , marking a path through a grassy field .
