Sentence,Verb,Lemma,PropBank Role (n)
several men in hard hats are operating a giant pulley system .,operate-01,operate,N/A
a man with black hair sits in a restaurant with a glass of beer .,sit-01,sit,2
"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",hold-01,hold,0
"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",wear-01,wear,0
a person in tan pants is inside a silver mobile object while people watch .,watch-01,watch,N/A
a person in tan pants is inside a silver mobile object while people watch .,wear-01,wear,N/A
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",contrast-01,contrast,2
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",observe-01,observe,2
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",approach-01,approach,2
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",contain-01,contain,2
white dog with brown ears standing near water with head turned to one side .,stand-01,stand,2
white dog with brown ears standing near water with head turned to one side .,turn-01,turn,2
two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,bind-01,bind,N/A
two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,demonstrate-01,demonstrate,N/A
a mottled black and gray dog in a blue collar jumping over a fallen tree .,fall-01,fall,m
man on scooter attracts attention from some of those in large crowd .,attract-01,attract,N/A
a group of people stand in the back of a truck filled with cotton .,stand-01,stand,2
a group of people stand in the back of a truck filled with cotton .,fill-01,fill,2
a man and a little girl happily posing in front of their cart in a supermarket .,pose-01,pose,N/A
a man and a little girl happily posing in front of their cart in a supermarket .,happy-01,happy,N/A
two young men and a young lady walk through a field near the water .,walk-01,walk,2
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",wear-01,wear,N/A
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",wear-01,wear,N/A
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",wear-01,wear,N/A
"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",sit-01,sit,2
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,sit-01,sit,2
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,read-01,read,2
a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,look-01,look,2
a small boy putting something in his mouth with both hands .,put-01,put,N/A
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,sit-01,sit,2
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,wear-01,wear,2
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,drift-01,drift,2
someone is standing on a long bridge with a cloudy blue sky in the background .,stand-01,stand,2
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",cause-01,cause,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",picture-01,picture,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",dress-01,dress,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",obligate-01,obligate,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",ask-01,ask,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",smile-01,smile,N/A
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",sleep-01,sleep,N/A
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",lean-01,lean,2
