image_name| comment_number| comment
1000092795.jpg| 0| Two young guys with shaggy hair look at their hands while hanging out in the yard .
1002674143.jpg| 1| A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
100759042.jpg| 1| A young man traveling on bus with a piece of flower in his hands .
1009692167.jpg| 1| A trained police dog sits next to his handler in front of the police van .
1014609273.jpg| 1| A kid in a red sweatshirt is reaching to hand something to a man in a white shirt
101471792.jpg| 1| a man wearing a red coat is outside with his hand over his head to block out the sun .
102030371.jpg| 1| Guy in green shirt with hand covering part of his face in restaurant booth .
1021332107.jpg| 2| A middle-aged man with a white beard and glasses holds up a small , wooden handmade cabinet .
1022454332.jpg| 1| A young boy waves his hand at the duck in the water surrounded by a green park .
103106960.jpg| 0| A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
1034276567.jpg| 0| A small boy putting something in his mouth with both hands .
1042590306.jpg| 0| A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1045309098.jpg| 1| Woman crossing the street at a crosswalk with multiple bags in her hands .
1047921035.jpg| 1| The man , who is wearing the handkerchief , is performing a task with the tub while the woman watches .
1051953669.jpg| 0| A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .
1054620089.jpg| 0| A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street .
1056198351.jpg| 0| A smiling little boy holds a hand mixer in a bowl .
1056359656.jpg| 4| a young blond girl with a magizine in her hands
106300392.jpg| 0| A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
106356264.jpg| 2| A newsstand clerk is surrounded by her colorful merchandise .
10751489.jpg| 0| Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear .
1078621572.jpg| 2| A rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .
1080230428.jpg| 1| Men playing volleyball , with one player missing the ball but hands still in the air .
1089354362.jpg| 1| A woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork .
108970557.jpg| 1| A woman dressed in light purple and wearing a corsage clasps her hands in her lap .
1093807815.jpg| 1| A group of African-American children have their hands up in the air singing or shouting in a classroom .
10951809.jpg| 2| An elderly women is sitting in a chair with a cane in her hand .
1095980313.jpg| 1| Little girl in blue swimsuit standing on a handrail near a beach .
1097463464.jpg| 0| A young boy wearing a black shirt , brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs .
1099434461.jpg| 2| A man 's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen .
