image_name| comment_number| comment
1000523639.jpg| 1| A man in green holds a guitar while the other man observes his shirt .
1000919630.jpg| 0| A man sits in a chair while holding a large stuffed animal of a lion .
10010052.jpg| 2| A young adult wearing rollerblades , holding a cellular phone to her ear .
100207720.jpg| 4| A standing woman holds a pan over a cake .
1003163366.jpg| 2| man laying on bench holding leash of dog sitting on ground
1003420127.jpg| 2| People gathered in a circle , some holding musical instruments .
100652400.jpg| 0| A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
1007205537.jpg| 0| A man stands on one foot while holding on to a waste basket .
100759042.jpg| 0| Young man in jacket holding a toothpick with something on the end of it
10082347.jpg| 2| A young man holding a pole vault looks determined .
10082348.jpg| 0| A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
10101477.jpg| 0| Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .
101362133.jpg| 1| Girl about to kick a piece of wood in half while karate instructor holds it
10160966.jpg| 0| A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
1016887272.jpg| 0| Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1021332107.jpg| 0| An elderly man with facial hair and glasses , standing in his living room holding a hutch cabinet with glass doors .
1029802110.jpg| 0| During a gay pride parade in an Asian city , some people hold up rainbow flags to show support .
1031973097.jpg| 3| Toddler boy in a red hat holding on to some railings .
1042359076.jpg| 0| A older man holds an object and is looking at two young girls that sit across from him at a table that is outside .
1042590306.jpg| 0| A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
1051953669.jpg| 0| A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .
1054620089.jpg| 1| A lady in a red coat , holding a bluish hand bag likely of asian descent , jumping off the ground for a snapshot .
1056198351.jpg| 0| A smiling little boy holds a hand mixer in a bowl .
1056338697.jpg| 1| The woman in the blue dress is holding out her arm at oncoming traffic .
1056415186.jpg| 0| Two Asian girls laughing , as the girl on the right holds an instrument .
105806535.jpg| 3| A man holding a yellow ball , soaking in a wooden tub .
1066831905.jpg| 2| A man holds up an older man as the older man bends down to check out plants .
1071201387.jpg| 0| A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover .
1075867198.jpg| 1| A man in shorts with two black dogs holds a ball throwing toy at the beach .
1076503761.jpg| 0| A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat .
10815824.jpg| 2| A girl holding a horse 's lead behind a fire .
1082250005.jpg| 0| A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads , a microwave and the chalkboard menu up on the wall .
1089354362.jpg| 0| A girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .
1091942526.jpg| 1| A girl laughs while holding an younger girl on her back and facing a small child .
1092437557.jpg| 2| a smiling woman in a peach tank top stands holding a mountain bike
109260216.jpg| 0| A person climbs a tall , flat mountain while holding onto a safety rope .
1093807815.jpg| 3| The children are singing and holding their arms in the air .
1095109931.jpg| 0| A woman smiles while holding several green peppers at a grocery stand .
1097710887.jpg| 0| A very young girl playing with a bubble-blowing wand , holding a bottle of bubble solution and walking through a park or field .
1102763701.jpg| 2| A group of people gather and holding different types of flags .
11034843.jpg| 0| A baby is crying while holding on to the side of a crib .
1104087374.jpg| 2| A boy and a girl holding hands while sitting on a shore .
110590591.jpg| 1| Four people are holding an american flag in the middle of a bunch of people .
110613709.jpg| 0| A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand ; surrounded by numerous amounts of machines .
110695011.jpg| 0| A man wearing a black jacket and gray slacks , stands on the sidewalk holding a sheet with something printed on it in his hand .
1107471216.jpg| 1| A little girl is holding a cine camera in front of her face .
110820212.jpg| 1| A man in an old building holding what looks like a light on a long pole .
1112212364.jpg| 0| A toddler sitting on a pile of rocks holding a rock at a beach .
1113186657.jpg| 1| A girl in a green Speedo top and blue goggles holds her breath underwater .
111497985.jpg| 0| The person has a striped shirt on and is holding on to a rope on a mountain .
111766423.jpg| 0| Black and white bird standing on hand of someone holding sunflower seeds
112178718.jpg| 0| Man is standing on white sand and holding a snowboard .
112220869.jpg| 1| A young girl smiles for the camera while holding a large trophy .
1122944218.jpg| 1| A baby in a white garment holds a flag with crescent moon and star .
112719695.jpg| 0| A woman in a pink shit and blue jeans is walking down a somewhat busy street while holding a cup of coffee .
1128230658.jpg| 0| A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm .
1130017585.jpg| 0| There are three young people , one dark-haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair .
1130295306.jpg| 0| A boy in a striped blue shirt and gray pants , holding a blue scooter , is looking across a river .
1130369873.jpg| 1| A red dog , holding a ball , splashes through vegetation filled water .
1131883759.jpg| 0| Someone holding a piece of , what looks like clear plastic , down on a hard surface while they drill a hole through it .
113291048.jpg| 0| A young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .
114051287.jpg| 0| A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
114052371.jpg| 3| A female with dreadlocks sits down and holds a pillow .
1140793239.jpg| 0| A girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .
1141643526.jpg| 0| A group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .
1142283988.jpg| 2| A smiling woman holds a person dressed in a pig costume .
1143882946.jpg| 4| A lady wearing a helmet holding a bike .
114410209.jpg| 0| A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car .
1144874057.jpg| 1| A man in a white long-sleeve shirt and black cap holding a bottled drink under his arm .
1145730606.jpg| 0| Someone is holding a young women on their shoulders for her to be able to reach the area she would like to use a wire brush to scrape off peeling paint .
1145755142.jpg| 0| A man is standing on a ladder in front of a cross , while a person is holding the ladder .
1146938063.jpg| 0| Two men talk while the one on the right holds in his left arm , and the one on the right holds a notebook behind him , they are in a field .
1148889628.jpg| 0| A construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .
1149286224.jpg| 0| There is a shirtless toned white man standing on a balcony of a construction site and holding some sort of tool .
114949897.jpg| 1| The man is holding the net for the boy playing baseball .
1151321278.jpg| 1| A young boy in hawaiian style swim trunks holds a plastic bucket and shovel on the shore of the ocean .
115275671.jpg| 1| A man in a hat and coat is holding a pitchfork and posing for a picture .
115275691.jpg| 0| An elderly man holding a pitchfork and doing some yard work .
1153857697.jpg| 2| A girl talking to a man holding various materials .
1155138244.jpg| 0| Woman dressed in a green hat and apron is holding a tray full of drink samples .
1159425410.jpg| 1| A brown dog is in a blue tub , while one person holds his leash and another is soaping him .
1162606352.jpg| 1| Two women stand together holding a pot and a pan of food .
1163297375.jpg| 0| Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .
1163438830.jpg| 0| A woman carried a cake ito the room with three candles as another woman holding a flute glass of wine , holds up her hand .
116457850.jpg| 1| Two workers holding up the tree look around , while the other two work hard with their shovels .
11678931.jpg| 0| A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
1175268298.jpg| 1| A young boy holds a sword and fence with a dummy holding a similar thin sword .
1181708011.jpg| 3| A woman , in a teal tank top , holding a power drill .
1184440714.jpg| 0| Two teenage girls jumping in a yard , with a two story brown building in the background , while holding each others right hand .
1184910489.jpg| 0| A woman with a red sleeveless top and a long black skirt holding one young child in her arm and holding another young child by the hand as she walks along .
1186128541.jpg| 1| A busy street with lots of people standing around talking and two are holding bikes .
118717792.jpg| 1| A group of people wearing red shirts and holding drums is being photographed at the boardwalk .
1187252153.jpg| 0| A man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .
118771635.jpg| 0| A girl wearing glasses and a brown plaid long-sleeved shirt holds a cup and looks through a book with people photographs and text .
1191939974.jpg| 1| A man in the hard hat and work gloves is holding some metal part .
1192725687.jpg| 0| A homeless man holding up a sign with his request for money and his reasons for asking .
119364730.jpg| 0| A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .
1196602179.jpg| 3| A woman in a green dress holding a toy dinosaur .
1196746186.jpg| 0| A woman in a jacket walks on the beach in someone 's footprints while holding her shoes in her hands .
1199376686.jpg| 0| A man wearing a blue jacket and glasses holds the handrail while climbing the stairs .
120394296.jpg| 1| A group of worshipers hold their services in a public park .
120474559.jpg| 0| A man is sitting in front of a computer monitor holding a keyboard and looking at the camera .
12118309.jpg| 0| Two men with dark hair wearing glasses and black shirts eat bread while holding their hands up to the camera .
121197973.jpg| 1| Closeup of a man in a bar , holding his glasses slanted in front of his face .
12142391.jpg| 0| A man in a pink plaid shirt , holds a blue object , a green object and a red object that are often used for juggling .
1224851143.jpg| 1| A young child holds a spoon to its mouth while sitting in a chair .
12252043.jpg| 0| Four young Asian boys hold bowls and chopsticks as they stand around a barbecue .
1225603792.jpg| 0| A man and women outside , the women is in a boat and the man is holding something in his hand putting it up to the women 's mouth while wearing sunglasses .
122634567.jpg| 0| A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him .
1231348815.jpg| 2| Displaying a big smile and a thumbs up this man is holding up a carriage .
123314995.jpg| 0| A man holding another man by the back of the head about to punch him in the face .
123315267.jpg| 4| Two men practicing MMA submission holds
123315301.jpg| 2| Two martial artists are demonstrating a hold using sticks .
1237177353.jpg| 0| A lady with an orange jacket is holding a walkie talkie , while another lady wearing a lime green jacket is standing near her looking at something in her hand and holding a cane .
1237985362.jpg| 0| A young woman in a blue shirt stands , holding a young girl in a denim dress .
1242603438.jpg| 0| A group of 11 smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .
124390903.jpg| 2| A woman holds a plate of goodies for her little princess .
124534466.jpg| 0| A woman in a blue jacket is bending down and holding out her arms for a little boy .
1248747267.jpg| 0| A man and woman are holding a sign that reads ," "" Teaching Children for peace "" ."
1253264731.jpg| 2| Two girls , one in overalls , holding on to a fence with water behind them .
1262454669.jpg| 2| Woman sitting on bench and holding the leash of a large white and brown dog .
1262583859.jpg| 2| A man rides on his bike with one hand and holds a drink with the other .
1265343716.jpg| 0| The girl with the long brown hair and bangs in her face is holding her hand to her chest .
1267711451.jpg| 4| a dog holds a stick in its mouth .
126824259.jpg| 4| Girl in a blue sweater holding her own hands .
127875146.jpg| 1| A man holding a sign up at someones windshield .
1279422342.jpg| 1| A young boy wearing a blue t-shirt holds up an odd-looking object for inspection while standing among trees .
128128618.jpg| 2| Two young men sitting on a bench holding music instruments .
128391889.jpg| 0| A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight .
1285067106.jpg| 0| The boy is wearing a white baseball uniform and holding a baseball .
1289352588.jpg| 4| A woman is holding the cheeks of a man on the beach .
1289951084.jpg| 0| Woman in a green and white striped shit lying in a chair with a yellow bag , holding a folded piece of paper .
1290571209.jpg| 0| A little boy is holding a green and yellow sponge while standing in front of a stove .
1290894194.jpg| 2| A woman squatting to face a small child while holding a dog .
1292715668.jpg| 3| The man and a lady holding their hands while walking .
129462636.jpg| 0| A chihuahua on a leash stands outside a door grate , behind which the lower legs , skirt , and hand of the person holding the leash can be seen .
129528391.jpg| 2| A white male who has everything covered but his face and hands is holding an accordion .
1295698260.jpg| 3| The woman in glasses is holding a red and white sale bag .
1298295313.jpg| 1| A boy is holding his nose and jumping off a diving board backwards into a lake .
129863111.jpg| 0| An adult female with dark hair is holding a baby .
1298866571.jpg| 1| A serious looking young man with a suit holds a cellphone .
130063845.jpg| 0| A girl wearing a black t-shirt is holding a small pizza in a kitchen setting .
1301140633.jpg| 0| Blond child with dirty face holding yellow bottle with red cap , plants in background .
130163559.jpg| 0| A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off , while rodeo helpers and the audience look on .
1301978702.jpg| 0| There is a middle-sized white male sleeping in a chair holding a marker and a bottle .
1302657647.jpg| 2| A man holding onto a jungle gym ladder .
1304428316.jpg| 4| a man in a blue shirt holding a wooden stick
13051044.jpg| 1| A man dressed in a burgundy shirt and black pants maneuvering a puppet which is holding a musical instrument .
1306145560.jpg| 2| A dog swims holding a tennis ball in its mouth .
1306824952.jpg| 2| Three children and an adult view an electronic device that the adult is holding .
1308472581.jpg| 2| A laughing girl holding a bucket splashes in the ocean
1312954382.jpg| 0| A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand .
1313987366.jpg| 0| A woman in a dress is holding a camera next to another woman who is laughing .
1316458112.jpg| 0| A man in a torn gray jacket holding some papers looks downward while standing behind a short-haired man in a brown shirt .
1321651400.jpg| 0| A blond woman in a white dress sits in a flowering tree while holding a white bird .
1321723162.jpg| 0| The two girls hold hands with one another while they skate on the ice .
1322323208.jpg| 0| Two children , one of which is holding a stick , are standing on the beach as the sun begins to set .
132298659.jpg| 0| A man wearing white overalls and a baseball cap is holding a paintbrush .
1324673652.jpg| 1| An adult holds up a bushel of sticks in a field .
132887917.jpg| 0| A little boy with a cream colored shirt holding a small piece of candy in a wrapper .
132935994.jpg| 0| An elderly firefighter in an orange suit is holding a fire hose with water coming out .
132966111.jpg| 1| Some people holding balloons are walking across some grass .
1330981138.jpg| 3| Man in a red shirt holding frying pan .
13327175.jpg| 2| A man is holding a rope which is tied to a pig .
1335877186.jpg| 0| A man holding a blue backpack , reading the paper , and a woman wearing a black coat wait for their train .
1336100240.jpg| 0| A little blond girl holding a stick walks down a cement path in pink Capris .
1336391319.jpg| 1| A person reaches for a fallen item while holding a rolling cart carrying Dole crates .
133767049.jpg| 3| A man opening a barbecue oven while holding tongs .
1337792872.jpg| 1| The little girl is wearing a denim dress and holding a brown teddy bear .
1338067602.jpg| 2| A man in a gray shirt and white hat standing in a boat holding a fish .
1338282180.jpg| 0| Two women in shorts and shirts are walking holding their purses on their right shoulder .
1339866098.jpg| 2| A boy waiting outside the kitchen holding his bike .
134201079.jpg| 0| A man wearing a Get A Job t-shirt takes a picture of the camera holder with a bright yellow camera while also holding a photo in his left hand .
1344692842.jpg| 2| Two martial artists face off - one holding swords , the other holding a spear .
1348278340.jpg| 4| A person in a blue shirt is holding a microphone in their hands .
1348947380.jpg| 0| An old man holding a camera while walking a small brown dog .
135200870.jpg| 0| A young girl standing next to a bowl holding an egg .
1352549200.jpg| 0| A young girl holding a hose and watering some small plants .
