image_name| comment_number| comment
1015118661.jpg| 3| A boy smiles in front of a stony wall in a city .
102575576.jpg| 2| A bride and groom smile as they view their wedding cake at the reception .
102851549.jpg| 0| A little boy looks at the camera while a woman behind him seems to be laughing very hard and the woman on the right has a big smile on her face .
104816788.jpg| 0| This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .
106490881.jpg| 3| A boy smiles for the camera at a beach .
1082250005.jpg| 2| Employee in pink shirt smiles for camera inside a restaurant kitchen .
1092437557.jpg| 4| A girl smiles while holding her bike in a field .
1095109931.jpg| 0| A woman smiles while holding several green peppers at a grocery stand .
1096165011.jpg| 1| The boys smiles underwater at the pool .
112220869.jpg| 1| A young girl smiles for the camera while holding a large trophy .
112411540.jpg| 1| A young man in a gray jacket stands behind the counter of a jewelery store and smiles .
1126403094.jpg| 1| An older woman smiles on as two pink-haired women talk .
1140793239.jpg| 0| A girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .
116482438.jpg| 0| An elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .
116626604.jpg| 0| A boy in a blue shirt smiles as he sits with his red stuffed animal .
117956563.jpg| 0| Restaurant workers smile as they take a break , gathered around a huge copper bowl in the kitchen .
118309463.jpg| 0| A small boy smiles as he stands with others wearing the same black hats .
1187252153.jpg| 2| A blond man shows off his freshly baked bread with a wide smile .
"1231348815.jpg| 1| A man pulling a fancy rickshaw along a waterway smiles and gives the "" thumbs up "" sign ."
1234206849.jpg| 3| Two women in hats decorated with flowers and fruit smile .
1238849490.jpg| 3| A woman , playing music , smiles as a crowd surrounds her .
1244306891.jpg| 0| A group of friends smile for a picture at the beach .
1251558317.jpg| 0| A woman and a young boy sit on a police motorcycle and smile for the camera .
1266116986.jpg| 0| A little girl wrapped in a dark blanket smiles broadly and stirs a spoon in a pan while she stands beside a crowded kitchen counter .
127149546.jpg| 2| A male smiles happily as he looks at many electronic cables .
1286805224.jpg| 0| A pretty asian girl smiles from a window next to a neon takeout sign .
1287905264.jpg| 1| A woman squatting in the grass is smiling at a little boy , as he smiles and raises his hands in the air .
