image_name| comment_number| comment
106514190.jpg| 0| A skier is overlooking the beautiful white snow covered landscape .
108503753.jpg| 0| The regional park police helicopter is preparing to land .
108898978.jpg| 1| Two skiers are making their way through woodland .
1144885633.jpg| 0| Three young men read the plaque on a wooden cross in a rocky landscape , one young man is talking on his cellphone .
1145722716.jpg| 4| Two men listening intently to a local underneath a landmark .
1149179852.jpg| 1| The shirtless man is walking the Shetland pony and carriage down the street .
115275671.jpg| 3| A man landscaping an area for preparation to the upcoming season .
119534510.jpg| 1| Person sitting on concrete landing next to body of water
122958692.jpg| 4| Missed that point by a landslide .
1263801010.jpg| 0| A person in a red and black ski outfit is looking over a snowy , mountainous landscape .
127332812.jpg| 1| An old man smiling at the camera in front of a rocky , barren patch of land .
127450902.jpg| 1| Beautiful snowy landscape with people treading through the snow .
129790261.jpg| 4| A man painting a city landscape
1306080718.jpg| 2| A man in a yellow jacket sweeps the street in England .
1336772621.jpg| 2| Island woman cooking outside with pineapples and fruit .
1338523142.jpg| 1| A hiker walks down a rocky path towards land with water .
1339342911.jpg| 0| A man dressed in dark clothing and a black hat is precariously stepping off the edge of a small cliff formation with the largest part of the formation and the desert landscape behind him .
136310496.jpg| 2| A black person tends to the farmland with animals to sow seeds .
1403064674.jpg| 0| A person in a blue shirt and jeans leans on a wooden fence while looking out through the trees at a landscape .
1404832008.jpg| 4| A man in a harness lands in the water .
1408677769.jpg| 3| The woman jumps to hit the blue and white volleyball before it lands in the sand .
1418632004.jpg| 2| A nun is being searched at an airport by a female Department of Homeland worker .
1428578577.jpg| 1| Two people pose for a picture amidst a snowy , rocky landscape .
1428925375.jpg| 3| A person standing on land overlooking water .
143684568.jpg| 1| A person is standing at the top of a rocky cliff overlooking land .
1477503966.jpg| 3| Four guys and a girl around a kitchen island at a party .
1478606153.jpg| 3| A brown and white dog is running through woodland .
148407193.jpg| 3| A woman in overalls is painting a landscape on the roof .
1547327107.jpg| 3| A family is hiking across a rocky landscape .
155221027.jpg| 0| A skydiver safely lands while another watches from the ground .
1679732375.jpg| 1| A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape , framed by the trunks of trees .
1714316707.jpg| 0| Child standing in a snowy landscape pulling down a snow-covered tree branch .
18498385.jpg| 0| In a mountain landscape , a person dressed in black leans against a fence and looks downward .
186007260.jpg| 4| A nighttime rally at a landmark .
1873666741.jpg| 0| A man who is smoking , wearing a yellow safety vest , is doing landscape work .
193945487.jpg| 0| A woman wearing a gray shirt and white shorts is playing golf in a golf area that is attractively landscaped with flowers .
194197375.jpg| 0| Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape
2022443431.jpg| 2| A skydiver in a yellow parachute prepares for landing .
2023529314.jpg| 0| A man is about to land on the ground after parachuting at a blue angels air show .
2036407732.jpg| 1| A group of people walking in a scrubland , a mountain in the background .
2057257734.jpg| 0| Two guys sitting close together in a cluttered kitchen at the butcher-block island counter with their mouths wide open and leaning forward toward a well done turkey in an aluminum foil roasting pan .
2057306459.jpg| 3| Two people fold a parachute after they have landed in a field .
2058091220.jpg| 4| A parachutist lands .
2067833088.jpg| 3| A hiker posing for a photo in an arid mountain landscape .
207584893.jpg| 0| Two parasailors on one parasail landing on a sandy beach in front of a large rocky boulder and the water .
2081141788.jpg| 2| Three children jump into a hotel pool from an artificial island .
2090997177.jpg| 0| A short black dog is walking over a barren landscape .
2092223894.jpg| 1| Two girls jumping on a trampoline , one upright and the other landing on her back , in a backyard .
2097407245.jpg| 0| A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape .
2103568100.jpg| 0| A white dog is walking through a river that runs through a rocky landscape .
2147870343.jpg| 0| There is a girl decorating for an event and a man is standing next to her smiling , and an island poster in the distance .
2151230100.jpg| 3| A ballerina dancing in front of a mountainous landscape .
2156131463.jpg| 0| People in bathing suits are on a beach looking at a landform in the distance .
2156328004.jpg| 0| Two soccer teams getting ready for penalties after a goaless draw in a match in london , england .
2166946777.jpg| 1| A red and white wooden boat , with many barrels on its roof , is anchored to the land with wooden poles and rocks .
2171388397.jpg| 2| This is a child in a snowy landscape sledding down a hill .
2173828253.jpg| 2| The photographer is taking Polaroids of the landscape .
2192547226.jpg| 2| Here is a picture of an army standing in one row and on an island .
219357394.jpg| 2| Man on a cellphone sitting with a woman overlooking the land .
2210368267.jpg| 3| A little girl jumps through the air to land on the sofa .
2244613488.jpg| 3| three bikers bike across the dry land .
2245916742.jpg| 0| a man in green holding a camera stands between two of the head statues on Easter island .
224702242.jpg| 1| A white dog jumps up to catch a soccer ball in landscaped grassy yard .
2256218522.jpg| 0| A dog bounding across the sandy landscape in front of people watching .
2264316030.jpg| 3| A brown dog is running through snowy woodland .
2278010569.jpg| 2| A marketplace that sells food in Thailand .
2289096282.jpg| 4| a boy is riding a buggy down a woodland path .
2305290449.jpg| 0| Many people and cars sit under a large leafless tree with water and landscape in the background .
2306254712.jpg| 0| A person in a snow covered landscape with trees in the background .
2331827016.jpg| 4| A rider on a horse landing from a jump .
2358359289.jpg| 0| A girl is jumping off of a swing and landing on her feet .
2369452202.jpg| 4| A red hot air balloon lands in a field among a crowd .
2373018323.jpg| 0| With an urban landscape in the background and graffiti framing the scene , a young person in blue jeans and sneakers is upside-down doing a flip several feet in the air .
241031254.jpg| 1| a bearded man in a white shirt and black shorts is hiking on a woodland path .
2414397449.jpg| 3| A small dog lands on a big dog trying to get a disc .
2423292784.jpg| 1| A little boy clowns with a colander on his head .
2428094795.jpg| 0| A little girl with purple hat is riding a tricycle along paved road by some farmland .
24321674.jpg| 0| Two young boys , one squatting , the other looking at a nearby body of water , are on a graveled piece of land .
2436081047.jpg| 0| A girl dismounts from a swing as high as she can and lands on the rubber tiles below .
243728508.jpg| 1| A director is attempting to adjust a camera for a shot with a prairie grass landscape in the background .
2439154641.jpg| 1| A man in shorts and a t-shirt is jumping in front of a desert landscape
2445234281.jpg| 0| A person wearing a light green tank-top and black pants is laying down , reading a book on a built island or structure very close to a green brown river in a city environment
2446315531.jpg| 0| Two brown dogs are wrestling with each other on some wasteland .
2486490836.jpg| 0| A man wearing a white shirt , black slacks , and white socks , in a resort hotel room , has leaped into the air to land on his bed .
2492258999.jpg| 0| Two bums are sitting on a sidewalk outside a Peace Mission in Portland Oregon .
2496370758.jpg| 2| A tan dog and a cream colored dog run through grasslands .
2506050069.jpg| 0| A toddler wearing tan jeans , shoes ," and a blue and black striped t-shirt emblazoned with the words "" Adventure Island "" ", is sitting cross-legged on the ground , digging at the soil with his fingers and a hand rake .
2520255786.jpg| 1| A child jumps off a swing and flies toward a landing pad .
2523307750.jpg| 2| The man is gesturing towards the young adults who are sitting on park benches in front of a landscaped background .
2578003921.jpg| 1| A mountain biker in red is riding on a woodland path .
2588003676.jpg| 1| People are riding the Cyclone thrill ride at the Coney Island amusement park .
2593406865.jpg| 0| A skateboarder jumps off his skateboard in midair in hopes of landing back on it .
2612761536.jpg| 1| Two young boys one in a white tank top and the other one in striped shirt in what looks like a landfill dump .
2633069263.jpg| 2| A man in and England jersey standing in a grass field .
2636454827.jpg| 1| A male and two female hikers pose in front of a mountainous landscape .
265223847.jpg| 1| A flying machine with a yellow sail is landing with industrial buildings in the background .
265528702.jpg| 3| A man wearing sunglasses stands before a forested landscape .
2664102751.jpg| 1| A man eyes the ground as he comes in for a landing from parasailing .
2673209105.jpg| 2| A little girl is jumping in a green landscape .
2694890967.jpg| 1| a group of people are sitting under a sunshade in a grassy woodland clearing .
