Original Sentence,Processed Sentence
several men in hard hats are operating a giant pulley system .,skip_because_no_change
workers look down from up above on a piece of equipment .,skip_because_no_change
two men working on a machine wearing hard hats .,skip_because_no_change
four men on top of a tall structure .,Four men.
three men on a large rig .,Three men.
a man with black hair sits in a restaurant with a glass of beer .,skip_because_no_change
a man is sitting at a table with a drink .,A man sat with a drink.
a man is sitting at a table with a beer .,The man was sitting with beer.
a dark-haired man sitting drinking .,A man with dark hairs sat there.
a old man having a beer alone .,skip_because_no_change
"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",A man in a blue and white outfit holding a broom and having traditional Asian architecture.
a asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,skip_because_no_change
a man in a white and blue kimono is using a broom to sweep pavement .,skip_because_no_change
man sweeping the street outside .,A man sweeps the streets.
asian man sweeping the walkway .,skip_because_no_change
a person in tan pants is inside a silver mobile object while people watch .,skip_because_no_change
people are watching a person in a weird vehicle in a plaza .,People watching people.
a man in a blue shirt driving a segway type vehicle .,skip_because_no_change
a showing of product to advertise,skip_because_no_change
a crowd admiring modern art ?,skip_because_no_change
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",But a black man approached a strange silver object containing people.
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,People were driving around in futuristic looking vehicles as the man approached and was watched by the crowd.
a person riding in a futuristic single-person vehicle .,skip_because_no_change
man walking up to silver 4-wheeled chair,The man walked up.
a man walks by a silver vehicle .,The man walks.
white dog with brown ears standing near water with head turned to one side .,"A white, brown earless dog stood with its head turned one side."
"dog with orange ball at feet , stands on shore shaking off water",The dog with the orange ball stood shaking with water.
a white dog shakes on the edge of a beach with an orange ball .,The white dog shook with an orange ball.
white dog playing with a red ball on the shore near the water .,White dogs playing with red balls.
"a dog shakes its head near the shore , a red ball next to it .",The dog shakes his head near the shore and gets a red ball.
two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,skip_because_no_change
a boy jump kicking over three kids kicking wood during a tae kwon do competition .,skip_because_no_change
a boy jumps over three other students in a martial arts demonstration .,skip_because_no_change
a crowd is watching a group of five martial artists perform .,skip_because_no_change
a crowd of people watch a martial arts demonstration .,skip_because_no_change
a mottled black and gray dog in a blue collar jumping over a fallen tree .,skip_because_no_change
a gray dog is leaping over a fallen tree .,skip_because_no_change
a large black dog leaps a fallen log .,skip_because_no_change
the black dog jumped the tree stump .,skip_because_no_change
a black dog leaps over a log .,skip_because_no_change
man on scooter attracts attention from some of those in large crowd .,skip_because_no_change
a crowd is standing and waiting for the green light .,skip_because_no_change
people stop and look at an older woman outside .,People stopped and looked at older women.
a crowd of people waiting to cross a street .,skip_because_no_change
a crowd of people waiting for the light .,skip_because_no_change
a group of people stand in the back of a truck filled with cotton .,A group of people stood.
men are standing on and about a truck carrying a white substance .,The man stood about him.
a group of people are standing on a pile of wool in a truck .,A group of people stood.
a group of men are loading cotton onto a truck,skip_because_no_change
workers load sheared wool onto a truck .,skip_because_no_change
large brown dog running away from the sprinkler in the grass .,skip_because_no_change
a brown dog chases the water from a sprinkler on a lawn .,The brown dog chased the sprinkler water.
a brown dog running on a lawn near a garden hose,The brown dog ran.
a brown dog plays with the hose .,skip_because_no_change
a dog is playing with a hose .,skip_because_no_change
a man and a little girl happily posing in front of their cart in a supermarket .,The man and the little girl pose happily.
a man sitting with his daughter in his daughter 's pink car in a grocery store .,A man sat with his daughter.
a man is sitting on a pink cart with a little girl in the grocery store .,The man was sitting with the little girl.
a man with his daughter sitting on a stroller in a supermarket .,A man with his daughter sitting in a stroller.
the little girl and the man are smiling .,skip_because_no_change
two young men and a young lady walk through a field near the water .,Two young men and a lady walked.
three people walking through a beautiful meadow towards the ocean .,Three people walked into the ocean.
two men and a woman are walking through a field .,The man and woman walked.
two males and one female walking on a path .,Two males and one female walked.
three people walking on a path in a meadow .,Three people walked.
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",Five snowmobile riders in helmets and goggles lined up.
"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",Five people with snowmobiles stood in winter jackets and helmets.
"five people wearing winter clothing , helmets , and ski goggles stand outside in the snow .",skip_because_no_change
a group of snowmobile riders gather in the snow .,A group of snowmobile riders gathered.
group gathered to go snowmobiling .,The group gathered to go skiing.
"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",skip_because_no_change
"a man in a yellow shirt , with a tall gray suitcase , sitting next to another man in a white shirt and gray pants , behind them a tall billboard for sunglasses and prescription glasses .",A man sitting in a seat wearing a yellow shirt and a tall gray suitcase.
"two men sitting on a bench talking , with a billboard advertisement for glasses in the background .",Two talking men sit with a billboard advertisement about glasses.
two men sitting on a bench in front of a sign with a picture of man and a lady .,Two men were sitting.
<number> men are sitting at a bench outside the airport in front of a billboard .,There are a number of men sitting there.
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,The man with the backpack sat.
a man in black is sitting next to a modern art structure in front of a glass building .,The black man was sitting.
a man sits and reads a newspaper by a sculpture outside of an office building .,The man sat and read a newspaper from the sculpture.
a man sitting in front of a metal sculpture in front of a building .,The man was sitting.
a man sits near a large statue .,The man was sitting.
a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,skip_because_no_change
a young child wearing a blue shirt and red hat grabs onto black bars in front of him .,skip_because_no_change
"the little boy looks like he is saying , let me out of jail .",skip_because_no_change
toddler boy in a red hat holding on to some railings .,skip_because_no_change
little boy wanting to play outside of fence .,The little boy wanted to play.
a small boy putting something in his mouth with both hands .,skip_because_no_change
a boy bites hard into a treat while he sits outside .,The boy bit hard for the treat while sitting.
the boy eats his food outside at the table .,The boy ate his food.
the boy is eating pizza over a tin dish .,The boy ate pizza.
a child biting into a baked good .,skip_because_no_change
a person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,People in green outfits and helmets swing baseball bats at tennis balls.
a girl playing softball hits the ball almost directly downwards,skip_because_no_change
a young girl is playing baseball and is striking out .,skip_because_no_change
a girl hitting a softball but she missed the ball .,skip_because_no_change
the batter missed the ball .,skip_because_no_change
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,skip_because_no_change
a man wearing a life jacket is in a small boat on a lake with a ferry in view .,A man in a life jacket with a view of the ferry.
a man wearing a red life-vest is sitting in a canoe on a body of water .,A man in a red lifevest sat there.
a balding man wearing a red life jacket is sitting in a small boat .,A bald man in a red life jacket sat there.
a man in a red life vest is riding in a canoe .,skip_because_no_change
someone is standing on a long bridge with a cloudy blue sky in the background .,Someone stood with a blue cloudy sky.
a solitary man stand on a bridge in the evening .,A solitary man stood in the evening.
one person is standing on a bridge at night .,One person stood at night.
person crossing a bridge in dim light .,skip_because_no_change
a man stands on a bridge at night .,The man stood at night.
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",skip_because_no_change
a sleeping baby is in someone 's arms and wearing a pink striped outfit,skip_because_no_change
a sleeping baby in a pink striped outfit .,skip_because_no_change
a little baby cradled in someones arms .,skip_because_no_change
a little baby is wearing purple pants .,skip_because_no_change
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",skip_because_no_change
"two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .",skip_because_no_change
a little girl is looking at some plants while another is on the phone in the background .,"The little girl looked at some plants, but another phoned."
two girls crouch in front of some bushes and talk on their phones .,The two girls croaked and talked on their phones.
two girls crouch in front of a garden of small shrubbery .,The two girls croaked.
a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,A young girl in multicolored with orange balls holding
a little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .,On summer days a little girl in a dress walks with her home and the trees.
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,The child in a dress with an orange mini soccer ball ran.
"a little girl stands in a backyard , holding a toy and looking into the camera .",skip_because_no_change
this little girl is enjoying the spring weather after the long winter break .,skip_because_no_change
"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",Several people can participate in the marathon by jogging on sunny days.
seven people are running and one of them is a man wearing a blue t-shirt and red shorts,skip_because_no_change
people jogging together on a park sidewalk .,People jogged together.
a group of joggers running on the sidewalk .,jogger group running
seven joggers run down a path .,7 joggers ran down.
pink shirted woman sleeping in a car with blue and white blanket on her .,"A pink-dressed, sleepy woman with a blue and white blanket."
a woman in a pink shirt wrapped up in a blue blanket asleep in a car .,A sleepy woman wrapped in pink shirt and blue blanket.
a woman in a red shirt is under a blanket and sleeping in a vehicle .,"The woman was wearing a red shirt, a blanket and sleeping."
a lady with brown hair in a pink shirt sleeping in a car .,A sleeping lady with brown hair and a pink shirt.
a woman sleeps under a blue and white blanket in a car .,The woman is sleeping.
firefighters converse with a man at the scene of an emergency .,Firefighters had a conversation with a man.
firefighters wear reflective uniforms and stare upwards .,skip_because_no_change
several firefighters are responding to an alarm .,skip_because_no_change
reflections from the firemen 's uniforms .,skip_because_no_change
firefighters are responding to an event .,skip_because_no_change
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,The man with the children was on his knees.
"a beach with blue and red boats , with people on shore",Beaches with blue and red boats and people.
people are doing various activities on the beach .,There are various activities of people.
people at beach looking for things in sand,People are looking at things.
many people walking on beach .,Many walk.
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,skip_because_no_change
a worker wearing a hard hat watching a large machine dig a trench in the dry dirt .,skip_because_no_change
a man in blue overalls and a yellow hard hat is watching a huge machine work .,skip_because_no_change
a man in a hard hat is wearing a blue shirt and blue jean overalls .,skip_because_no_change
a man in a hard hat looks at some machinery .,skip_because_no_change
kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,Kids riding their bicycles near a mound of dirt with a backhoe hovel.
a boy wearing a red shirt is riding his bike right next to a mound of dirt .,The boy in red shirt rode his bike.
a group of boys are riding their bikes around a big pile of dirt .,skip_because_no_change
kids are riding bikes near a dirt mound in the street .,Kids riding bikes near a dirt mound.
the kids are riding bikes in the pile of dirt .,Kids riding bikes.
a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,skip_because_no_change
a guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .,A guy standing in all black.
a man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .,The man bowled.
a man stand there after rolling a bowling ball down a lane .,The man stood after he rolled the bowling ball down the lane.
man finished throwing bowling ball towards bowling pins .,skip_because_no_change
a little boy rides a bike down a hill on a miniature dirt bike .,skip_because_no_change
a young boy in a helmet rides a bike on the road .,A young boy in a helmet rode a bike.
a child with a helmet on his head rides a bike .,Children with helmets ride bikes.
the young boy pedals quickly at a bmx race .,The young boy was pedaling quickly.
the little boy rides his bicycle in a race .,skip_because_no_change
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,A large group of people walked on the back of a small pickup truck.
people cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .,skip_because_no_change
"a rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .",skip_because_no_change
"a group of people riding in the back of a truck , down the road , in a country area .",A group of people ridden the back of the truck.
many men on the back of a pick up truck going down a road .,Many men.
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,skip_because_no_change
"men playing volleyball , with one player missing the ball but hands still in the air .",skip_because_no_change
a group of spectators watch a men 's sand volleyball game .,skip_because_no_change
volleyball players compete on a sunny day at the beach .,"On a sunny day, volleyball players competed."
men playing volleyball in the sand .,The man played volleyball.
a man kneels on the ground doing some sort of project on his own .,skip_because_no_change
woman with blue gloves working on the sidewalk with some cleaner,A working woman in blue gloves with some cleaners.
"a short , brown hair girl is assembling a pink roof cover .",skip_because_no_change
a woman assembles a white metal frame on the sidewalk .,The woman assembled a frame of white metal.
a young woman sands down an old shelf .,skip_because_no_change
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,skip_because_no_change
a woman in blue shorts and a white shirt is indoor rock climbing .,skip_because_no_change
"the girl is in a harness , climbing rocks .",skip_because_no_change
woman climbing an artificial rock wall .,skip_because_no_change
the girl is climbing a rock wall .,skip_because_no_change
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .","A sitting girl in a sitting purse with journal writing in a short sleeve green shirt, blue jeans and flip flops holding a cup."
"a woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork .","A woman in green shirt and jeans was kneeling with coffee in hand, a purse and a large door."
"a woman is sitting on the steps in front of a large black door , writing in a notebook .",skip_because_no_change
"a woman sitting down on steps , writing something down with a door behind her .",A woman sitting down writing something to the door.
a girl holding a coffee cup is writing outside .,The girl holding a coffee cup wrote:
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,skip_because_no_change
a young blond woman sitting atop a brown draft horse in the snowy mountains .,Young blonde woman sitting in her own chair.
a woman rides a horse near a frozen lake in the winter time .,skip_because_no_change
woman n blue jacket sits on daft horse near a frozen lake .,The woman and her blue jacket sat.
a woman in a blue jacket rides a brown pony near water .,skip_because_no_change
"a person climbs a tall , flat mountain while holding onto a safety rope .",skip_because_no_change
a person is climbing a rock while holding onto a white rope .,skip_because_no_change
a person climbing down a sheer rock cliff using a rope,skip_because_no_change
a person wearing a red vest climbs up a steep rock .,skip_because_no_change
a person rappels down a steep incline .,skip_because_no_change
a group of hikers are resting on the ground in front of some mountains .,A group of hikers raised on the ground.
several hikers rest with their gear in front of a mountain .,Several hikers rest with their gear.
the group of hikers is resting in front of a mountain .,The rest of the group of hikers.
people camp with the mountains in the background .,skip_because_no_change
a group of backpackers lay on the dry ground .,skip_because_no_change
a group of african american children with their arms above their heads and happy expressions on their faces .,The group is an African American child with arms and happy expressions.
a group of african-american children have their hands up in the air singing or shouting in a classroom .,The group of African American children sang or shouted up their hands in the air.
many young dark complected children raising their arms in the air in excitement .,skip_because_no_change
the children are singing and holding their arms in the air .,skip_because_no_change
a group of kids in class with their hands in the air .,Group of kids with hands
a young black person wearing a green shirt and a jacket using a sewing machine .,skip_because_no_change
a woman wearing a brown headscarf works at a sewing machine .,skip_because_no_change
woman meticulously working with a sewing machine .,skip_because_no_change
a black woman using a sowing machine .,skip_because_no_change
woman with a brown headscarf sewing .,skip_because_no_change
a woman smiles while holding several green peppers at a grocery stand .,The woman smiled as she held several green peppers.
a young woman holds a red and green pepper at a vegetable stand .,Young women held red and green peppers.
a girl working at a farm market selling peppers .,skip_because_no_change
a woman smiles as she holds some bell peppers .,skip_because_no_change
woman with a tank top buying green peppers .,skip_because_no_change
a young boy is jumping through water being sprayed up from the ground .,skip_because_no_change
a little boy playing in the water .,Little boy playing.
a boy plays in the fountains .,The boy played.
a child plays in a fountain .,The children are playing.
a boy jumping in a fountain .,skip_because_no_change
a yellow dog and a black and white dog are running in the dirt .,skip_because_no_change
a blond dog and a black and white dog run in a dirt field .,The dogs were blonde and black and white.
two dogs are running in a field .,Two dogs ran.
a dog chases another dog .,skip_because_no_change
two dogs running around,skip_because_no_change
three people on atvs in a brown field turn their heads to look at the camera .,The 3 people turned their heads with the Atvs to look at the cameras.
three people ride their four wheelers through the field .,skip_because_no_change
three people on four wheel atv 's in a field .,3 people on 4 wheel ATV
three people on atv 's outside .,skip_because_no_change
three people drive atvs .,skip_because_no_change
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,People dressed in a tan jacket jumped on quads over the harvested cornfields.
an atv is airborne over a field in front of a white structure .,The Atv is airborne.
a man on a four-wheeler jumps near a small building .,skip_because_no_change
a man jumps gin the air while riding an atv,skip_because_no_change
man on four wheeler in the air .,A man on four bikes.
three men are riding on an elephant with a shack in the background and two of them are wearing hats .,Three men rode elephants in a shack and two men wore hats.
three guys riding on an elephant with a house-like structures and trees in the background .,Three guys rode an elephant with a house-like structure and a tree.
"three young men are riding an elephant , sitting in what 's called a howdah .",Three young men rode and sat on an elephant.
three men seated on an elephant in a small village .,"Three seats, one for each man."
two men and a shirtless boy are on an elephant .,skip_because_no_change
"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",skip_because_no_change
a boy in yellow glasses and red-haired girl pose for the camera .,skip_because_no_change
"two kids , one wearing glasses and a headlamp , are smiling .",skip_because_no_change
a boy in goggles plays with a read-haired girl .,skip_because_no_change
a crowd of people outside .,crowd of people
"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",The couple sat with their feet and shaken their hands.
a man and woman wearing sunglasses sit halfway in the water .,The man and woman in sunglasses sat halfway through.
a boy and a girl holding hands while sitting on a shore .,The boys and girls held hands while sitting.
a couple with sunglasses are laying on the beach .,skip_because_no_change
a blond holding hands with a guy in the sand .,The blonde held the guy's hand.
a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,The boy in white t-shirts walked and carried a soccer ball.
a boy walks with a ball tucked under his arm .,skip_because_no_change
a boy walks with a soccer ball near a fence .,skip_because_no_change
small boy carries a soccer ball on a field .,The small boy carried a soccer ball.
a boy carrying a soccer ball .,skip_because_no_change
a man in aerodynamic gear riding a bicycle down a road around a sharp curve .,skip_because_no_change
"man bicycle up a road , while cows graze on a hill nearby .",The man was bicycling up while the cows grazed on the hill.
a cyclist is riding a bicycle on a curved road up a hill .,skip_because_no_change
the biker is riding around a curve in the road .,Bikers ride around a curve.
a man on a mountain bike is pedaling up a hill .,skip_because_no_change
"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",skip_because_no_change
"a group of workers in the desert , two with wheel barrels and two just standing around .","A group of workers, two with wheel barrels and two just standing."
men are constructing a wall in the desert .,The wall was constructed by men.
men pushing wheelbarrows in the desert .,A man pushing a wheelbarrow.
the men are working in the hot sun .,The man worked.
a small child and an adult walk on the beach in front of ocean waves .,Small children and adults walking.
an adult and a child walk along the beach during the day .,Adults and children walk daily.
an adult and child walking along the beach on the sand .,Adults and children walk.
