WorkerId,Input.sentence,Answer.taskAnswers
A17EZEAMF37MGQ,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban
A176JUTGNWG7QJ,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban
A2SMHEGRLML092,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban
A2ZY94PZ5CVH0,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban
A2ZY94PZ5CVH0,a brown dog running on a lawn near a garden hose,outdoors/natural/field_forest
A176JUTGNWG7QJ,a brown dog running on a lawn near a garden hose,outdoors/man-made/domestic
A2SMHEGRLML092,a brown dog running on a lawn near a garden hose,outdoors/man-made/domestic
A17EZEAMF37MGQ,a brown dog running on a lawn near a garden hose,indoors/man-made/domestic
A2ZY94PZ5CVH0,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/recreation
A2SMHEGRLML092,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/domestic
A176JUTGNWG7QJ,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/domestic
A17EZEAMF37MGQ,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,indoors/man-made/domestic
A17EZEAMF37MGQ,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban
A2ZY94PZ5CVH0,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban
A176JUTGNWG7QJ,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban
A2SMHEGRLML092,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban
A17EZEAMF37MGQ,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water
A2ZY94PZ5CVH0,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water
A176JUTGNWG7QJ,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water
A2SMHEGRLML092,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water
A176JUTGNWG7QJ,men playing volleyball in the sand .,outdoors/natural/body_of_water
A2SMHEGRLML092,men playing volleyball in the sand .,outdoors/natural/body_of_water
A2ZY94PZ5CVH0,men playing volleyball in the sand .,outdoors/natural/body_of_water
A17EZEAMF37MGQ,men playing volleyball in the sand .,outdoors/natural/body_of_water
A2SMHEGRLML092,a little boy playing in the water .,outdoors/natural/body_of_water
A2ZY94PZ5CVH0,a little boy playing in the water .,outdoors/natural/body_of_water
A176JUTGNWG7QJ,a little boy playing in the water .,outdoors/natural/body_of_water
A17EZEAMF37MGQ,a little boy playing in the water .,outdoors/natural/body_of_water
A2SMHEGRLML092,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
A2ZY94PZ5CVH0,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
A176JUTGNWG7QJ,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
A17EZEAMF37MGQ,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
A176JUTGNWG7QJ,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education
A2ZY94PZ5CVH0,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education
A17EZEAMF37MGQ,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/transportation_urban
A2SMHEGRLML092,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education
A2SMHEGRLML092,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/man-made/recreation
A17EZEAMF37MGQ,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/natural/other_unclear
A176JUTGNWG7QJ,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/man-made/recreation
A2ZY94PZ5CVH0,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/man-made/other_unclear
A17EZEAMF37MGQ,kids play around a statue bust outside .,outdoors/man-made/recreation
A2SMHEGRLML092,kids play around a statue bust outside .,outdoors/man-made/recreation
A2ZY94PZ5CVH0,kids play around a statue bust outside .,outdoors/man-made/recreation
A176JUTGNWG7QJ,kids play around a statue bust outside .,outdoors/man-made/transportation_urban
A17EZEAMF37MGQ,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant
A2SMHEGRLML092,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant
A176JUTGNWG7QJ,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant
A2ZY94PZ5CVH0,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant
A176JUTGNWG7QJ,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/recreation
A2ZY94PZ5CVH0,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/recreation
A17EZEAMF37MGQ,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/other_unclear
A2SMHEGRLML092,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/recreation
A2SMHEGRLML092,two children swing in dusty rooftop from a swing made from a steel drum .,indoors/man-made/recreation
A2ZY94PZ5CVH0,two children swing in dusty rooftop from a swing made from a steel drum .,outdoors/man-made/domestic
A176JUTGNWG7QJ,two children swing in dusty rooftop from a swing made from a steel drum .,outdoors/man-made/domestic
A17EZEAMF37MGQ,two children swing in dusty rooftop from a swing made from a steel drum .,outdoors/man-made/domestic
A17EZEAMF37MGQ,"""person leaning against the wall , next to a life size cartoon cut out .""",outdoors/man-made/transportation_urban
A2ZY94PZ5CVH0,"""person leaning against the wall , next to a life size cartoon cut out .""",outdoors/man-made/other_unclear
A176JUTGNWG7QJ,"""person leaning against the wall , next to a life size cartoon cut out .""",indoors/man-made/other_unclear
A2SMHEGRLML092,"""person leaning against the wall , next to a life size cartoon cut out .""",indoors/man-made/domestic
A176JUTGNWG7QJ,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation
A2ZY94PZ5CVH0,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation
A2SMHEGRLML092,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation
A17EZEAMF37MGQ,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation
A2ZY94PZ5CVH0,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban
A17EZEAMF37MGQ,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban
A2SMHEGRLML092,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban
A176JUTGNWG7QJ,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban
A17EZEAMF37MGQ,three children are practicing martial arts in a gym .,indoors/man-made/recreation
A2ZY94PZ5CVH0,three children are practicing martial arts in a gym .,indoors/man-made/recreation
A2SMHEGRLML092,three children are practicing martial arts in a gym .,indoors/man-made/recreation
A176JUTGNWG7QJ,three children are practicing martial arts in a gym .,indoors/man-made/recreation
A2ZY94PZ5CVH0,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban
A2SMHEGRLML092,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban
A176JUTGNWG7QJ,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban
A17EZEAMF37MGQ,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban
A2SMHEGRLML092,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/work_education
A17EZEAMF37MGQ,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation
A2ZY94PZ5CVH0,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/other_unclear
A176JUTGNWG7QJ,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation
A2SMHEGRLML092,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/work_education
A2ZY94PZ5CVH0,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/other_unclear
A17EZEAMF37MGQ,a dark-haired man is speaking into a microphone while another man is sitting beside him .,outdoors/natural/other_unclear
A176JUTGNWG7QJ,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/recreation
