Verb,Total annotations,Original correct,Processed correct,drop in percentage,Original percentage,Processed percentage,Worker A17EZEAMF37MGQ,Worker A176JUTGNWG7QJ,Worker A2SMHEGRLML092,Worker A2ZY94PZ5CVH0,KLDivergence
ski-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.291502582785941
grill-01,40,14,14,0.0,0.7,0.7,10 / 10,10 / 10,10 / 10,10 / 10,1.2490715851406442
row-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.1006105531269337
drink-01,40,19,16,0.15789473684210525,0.95,0.8,10 / 10,10 / 10,10 / 10,10 / 10,0.7465027983024439
present-01,40,16,15,0.0625,0.8,0.75,10 / 10,10 / 10,10 / 10,10 / 10,0.7343127668494341
sing-01,40,12,10,0.16666666666666666,0.6,0.5,10 / 10,10 / 10,10 / 10,10 / 10,0.6117665478124628
swing-01,40,12,16,-0.3333333333333333,0.6,0.8,10 / 10,10 / 10,10 / 10,10 / 10,0.5468283628824745
pass-by-17,40,20,15,0.25,1.0,0.75,10 / 10,10 / 10,10 / 10,10 / 10,0.4475781848766111
sell-01,40,10,8,0.2,0.5,0.4,10 / 10,10 / 10,10 / 10,10 / 10,0.4025859283093883
sleep-01,40,15,0,1.0,0.75,0.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3675289872885302
catch-01,40,7,2,0.7142857142857143,0.35,0.1,10 / 10,10 / 10,10 / 10,10 / 10,0.357263073635968
examine-01,40,16,17,-0.0625,0.8,0.85,10 / 10,10 / 10,10 / 10,10 / 10,0.3534159717500019
lie-07,40,15,8,0.4666666666666667,0.75,0.4,10 / 10,10 / 10,10 / 10,10 / 10,0.3357568074664959
race-02,40,8,8,0.0,0.4,0.4,10 / 10,10 / 10,10 / 10,10 / 10,0.3070605837431263
practice-01,40,17,15,0.11764705882352941,0.85,0.75,10 / 10,10 / 10,10 / 10,10 / 10,0.3031872740822552
speak-01,32,4,4,0.0,0.2,0.2,8 / 10,8 / 10,8 / 10,8 / 10,0.293925732838351
drive-01,40,17,13,0.23529411764705882,0.85,0.65,10 / 10,10 / 10,10 / 10,10 / 10,0.2780281036272092
wait-01,40,10,7,0.3,0.5,0.35,10 / 10,10 / 10,10 / 10,10 / 10,0.2439586596005655
run-02,40,11,6,0.45454545454545453,0.55,0.3,10 / 10,10 / 10,10 / 10,10 / 10,0.233144345927466
jump-03,40,6,6,0.0,0.3,0.3,10 / 10,10 / 10,10 / 10,10 / 10,0.1541386236091168
play-01,40,8,6,0.25,0.4,0.3,10 / 10,10 / 10,10 / 10,10 / 10,0.1401650958812
use-01,40,13,13,0.0,0.65,0.65,10 / 10,10 / 10,10 / 10,10 / 10,0.134190473636588
lean-01,40,13,7,0.46153846153846156,0.65,0.35,10 / 10,10 / 10,10 / 10,10 / 10,0.1159706878143049
enjoy-01,40,16,11,0.3125,0.8,0.55,10 / 10,10 / 10,10 / 10,10 / 10,0.0944803992516977
kneel-01,32,16,5,0.6875,0.8,0.25,8 / 10,8 / 10,8 / 10,8 / 10,0.0855765508796488
contrast-01,40,2,0,1.0,0.1,0.0,10 / 10,10 / 10,10 / 10,10 / 10,0.0432238844132744
sit-01,40,9,0,1.0,0.45,0.0,10 / 10,10 / 10,10 / 10,10 / 10,0.0409340218732662
