Verb,Total annotations,Original correct,Processed correct,drop in percentage,Original percentage,Processed percentage,Worker flux,Worker dalle,Worker midjourney,KLDivergence
ski-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.291502582785941
grill-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.2490715851406442
row-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.1006105531269337
drink-01,30,14,10,0.2857142857142857,0.9333333333333333,0.6666666666666666,10 / 10,10 / 10,10 / 10,0.7465027983024439
present-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.7343127668494341
sing-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.6117665478124628
swing-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.5468283628824745
pass-by-17,30,15,14,0.06666666666666667,1.0,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.4475781848766111
sell-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.4025859283093883
sleep-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.3675289872885302
catch-01,30,15,14,0.06666666666666667,1.0,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.357263073635968
examine-01,30,13,14,-0.07692307692307693,0.8666666666666667,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.3534159717500019
lie-07,30,15,14,0.06666666666666667,1.0,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.3357568074664959
race-02,30,9,12,-0.3333333333333333,0.6,0.8,10 / 10,10 / 10,10 / 10,0.3070605837431263
practice-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.3031872740822552
speak-01,30,14,12,0.14285714285714285,0.9333333333333333,0.8,10 / 10,10 / 10,10 / 10,0.293925732838351
drive-01,30,12,12,0.0,0.8,0.8,10 / 10,10 / 10,10 / 10,0.2780281036272092
wait-01,30,11,9,0.18181818181818182,0.7333333333333333,0.6,10 / 10,10 / 10,10 / 10,0.2439586596005655
run-02,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.233144345927466
jump-03,30,15,13,0.13333333333333333,1.0,0.8666666666666667,10 / 10,10 / 10,10 / 10,0.1541386236091168
play-01,30,15,12,0.2,1.0,0.8,10 / 10,10 / 10,10 / 10,0.1401650958812
use-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.134190473636588
lean-01,30,14,10,0.2857142857142857,0.9333333333333333,0.6666666666666666,10 / 10,10 / 10,10 / 10,0.1159706878143049
enjoy-01,30,13,14,-0.07692307692307693,0.8666666666666667,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.0944803992516977
kneel-01,24,12,9,0.25,0.8,0.6,8 / 10,8 / 10,8 / 10,0.0855765508796488
contrast-01,30,13,9,0.3076923076923077,0.8666666666666667,0.6,10 / 10,10 / 10,10 / 10,0.0432238844132744
sit-01,30,12,8,0.3333333333333333,0.8,0.5333333333333333,10 / 10,10 / 10,10 / 10,0.0409340218732662
